epoch,train_loss,val_loss,val_mse,val_mae,val_rmse,val_r2,val_corr,val_nrmse,val_mape_score,val_acc_like_0.1,val_acc_like_0.2,val_acc_like_0.3,val_acc_like_0.4,val_acc_like_0.5,lr
1,0.9048417527228594,0.6126189976930618,26521662.0,3942.45361328125,5149.918640134036,0.38941216468811035,0.7525428383191336,0.9234071187495229,0.1455979730787546,0.11896875,0.2311875,0.3379375,0.43475,0.522625,0.001
2,0.3824334926903248,0.26542768254876137,11488906.0,2537.90185546875,3389.5288758174047,0.7354997396469116,0.8606669451819313,0.9495887603626707,0.2614245922003387,0.18771875,0.35771875,0.50275,0.6236875,0.71865625,0.001
3,0.24333296669647098,0.23523236624896526,10181947.0,2371.5185546875,3190.9163260731234,0.7655888199806213,0.8750412184712916,0.9525426531327169,0.25112552240680797,0.20503125,0.385,0.53603125,0.657,0.7480625,0.001
4,0.23029984161257744,0.23104548268020153,10000487.0,2347.2470703125,3162.3546606919344,0.7697664499282837,0.8774302373947674,0.9529674404735904,0.2545990989156285,0.2086875,0.39015625,0.541,0.66153125,0.75196875,0.001
5,0.22839841339737177,0.23013653606176376,9960044.0,2347.65087890625,3155.953738570957,0.7706975936889648,0.8786309129568819,0.9530626390781052,0.245762875233638,0.2063125,0.39115625,0.54053125,0.6585625,0.75115625,0.001
6,0.2263216683641076,0.23198732174932957,10040101.0,2363.655029296875,3168.611841169568,0.7688544392585754,0.8792327285626198,0.9528743796866586,0.25468279686535766,0.20571875,0.38728125,0.53753125,0.653625,0.74753125,0.001
7,0.22669742163270712,0.22826836071908474,9878939.0,2319.584716796875,3143.0779500356016,0.7725647687911987,0.8797385258394852,0.953254136033923,0.24093840833630129,0.213125,0.3961875,0.5463125,0.66784375,0.756375,0.001
8,0.224012547172606,0.2262592650949955,9792268.0,2320.302734375,3129.2599764161496,0.7745600938796997,0.880190700006572,0.9534596457684476,0.2459304941971001,0.2108125,0.39446875,0.5470625,0.66478125,0.75584375,0.001
9,0.2228493131697178,0.24330011755228043,10530538.0,2445.3349609375,3245.0790437214314,0.7575634717941284,0.8800942866222826,0.9517371105812851,0.25545455525473165,0.19503125,0.37196875,0.517625,0.63665625,0.730125,0.001
10,0.2264030291698873,0.22750653512775898,9846043.0,2317.81005859375,3137.8404994518123,0.7733221054077148,0.8806098385374438,0.9533320307461798,0.22239072639561672,0.2109375,0.39709375,0.54634375,0.6681875,0.75678125,0.001
