epoch,train_loss_local,train_loss_global,train_loss_total,val_loss_local,val_loss_global,val_loss_total,val_mse,val_mae,val_rmse,val_r2,val_corr,val_nrmse,val_mape_score,val_acc_like_0.1,val_acc_like_0.2,val_acc_like_0.3,val_acc_like_0.4,val_acc_like_0.5,lr
1,0.8965021502226591,0.6761561911553144,0.6981907663866878,0.8056998178362846,0.4059586748480797,0.4459327831864357,5001793.5,1687.6466064453125,2236.468980334849,0.5994400978088379,0.7805154895684956,0.9436296609460639,0.42368134320484435,0.14809375,0.28834375,0.4140625,0.52834375,0.62434375,0.001
2,0.7656498309224844,0.3883574176579714,0.42608665488660336,0.7225025072693825,0.31748801469802856,0.35798946395516396,3911853.5,1472.697265625,1977.840615418745,0.6867260932922363,0.8297991826621085,0.9501484048890733,0.4121835738865352,0.17475,0.337,0.47721875,0.59159375,0.68665625,0.001
3,0.6917542014271021,0.33276900090277195,0.36866751685738564,0.647921234369278,0.2846904993057251,0.32101356238126755,3507325.5,1395.6392822265625,1872.7854922547856,0.7191219925880432,0.8508973751729355,0.9527963257697907,0.3553037266660347,0.18378125,0.3534375,0.49696875,0.61765625,0.7093125,0.001
4,0.6165919508785009,0.30517764016985893,0.33631907030940056,0.570150800049305,0.274890698492527,0.3044167011976242,3387519.5,1383.8426513671875,1840.5215293497656,0.7287164330482483,0.8619149079120971,0.9536095409514773,0.44305853441704734,0.182875,0.3484375,0.4938125,0.61353125,0.71296875,0.001
5,0.5487087685614824,0.285408447496593,0.31173847429454327,0.5040193535387516,0.24939874559640884,0.27486080303788185,3073159.25,1310.3865966796875,1753.0428545817126,0.7538914680480957,0.8689688883843938,0.9558144463626518,0.3809724502582686,0.19859375,0.374375,0.5220625,0.63928125,0.73509375,0.001
6,0.48915014788508415,0.2722754590213299,0.29396292101591825,0.45090092346072197,0.241553058847785,0.26248783990740776,2977003.25,1292.54296875,1725.3994465050694,0.761591911315918,0.8743048332999768,0.9565112001739446,0.3874620493233739,0.19903125,0.37715625,0.52465625,0.64434375,0.7393125,0.001
7,0.4461343949660659,0.26260806154459715,0.28096069023013115,0.4146733544766903,0.23379801213741302,0.25188554264605045,2881326.5,1271.9578857421875,1697.4470536661813,0.7692540287971497,0.8780532690607414,0.9572157419652916,0.3583517611810739,0.20390625,0.38225,0.531625,0.6513125,0.7456875,0.001
8,0.4159890655428171,0.25745696434751153,0.273310168646276,0.3894585520029068,0.2302525918930769,0.24617318622767925,2837980.5,1264.7977294921875,1684.6306716903857,0.7727253437042236,0.8807295779257003,0.9575387796661374,0.37270628195159355,0.20321875,0.38134375,0.5340625,0.65509375,0.74846875,0.001
9,0.39511576388031244,0.2519060750491917,0.26622703997418284,0.3705953136086464,0.22704973816871643,0.24140428937971592,2798691.75,1258.2835693359375,1672.9290929384904,0.7758716344833374,0.8825374482528983,0.9578337186827349,0.3881904620168263,0.200875,0.38259375,0.53665625,0.65715625,0.74903125,0.001
10,0.3782844301313162,0.2460116809234023,0.25923895137384534,0.35646145045757294,0.22599628195166588,0.23904279246926308,2785621.5,1258.6236572265625,1669.0181245271126,0.7769184112548828,0.8837841290521844,0.9579322948835751,0.38601497508064636,0.20053125,0.38190625,0.5340625,0.6566875,0.75003125,0.001
11,0.3661613706499338,0.24455148028209805,0.2567124655470252,0.34555327147245407,0.22246530652046204,0.23477409780025482,2742106.0,1249.09912109375,1655.9305540994164,0.7804032564163208,0.8852344207370154,0.9582621679061337,0.3911741139100582,0.2008125,0.384125,0.53725,0.65975,0.75165625,0.001
12,0.35648017190396786,0.24252111138775945,0.2539170114323497,0.3369375802576542,0.21979956701397896,0.231513362377882,2709222.5,1240.322021484375,1645.9715975678316,0.7830367088317871,0.8861534673078542,0.9585131840218255,0.3803059155271577,0.2033125,0.3885625,0.54084375,0.66209375,0.7546875,0.001
13,0.3477595252916217,0.23676967294886708,0.24786865292117,0.32949963212013245,0.21813097968697548,0.22926784306764603,2688666.0,1235.69970703125,1639.7152191767934,0.7846828699111938,0.8870299915731826,0.9586708764263496,0.3750744684370973,0.20525,0.38903125,0.541625,0.6645,0.756125,0.001
