fold,epoch,train_loss,val_loss,val_mse,val_mae,val_rmse,val_r2,val_corr,val_nrmse,val_mape_score,val_acc_like_0.1,val_acc_like_0.2,val_acc_like_0.3,val_acc_like_0.4,val_acc_like_0.5,lr
1,1,0.7879423340782523,0.38378240913152695,4726704.0,1670.439697265625,2174.098433834126,0.6149815917015076,0.7858000068044896,0.9365966560846329,0.2965224831031904,0.14275,0.280875,0.407375,0.5230625,0.61675,0.001
1,2,0.29109444655478,0.23361624032258987,2878358.25,1303.4544677734375,1696.5725006612597,0.7655404806137085,0.8780041791609102,0.9505227693177267,0.3829626128574715,0.1875625,0.3589375,0.5060625,0.62425,0.7235,0.001
1,3,0.22833780804648995,0.211640153080225,2609228.75,1238.884521484375,1615.3107286215863,0.7874626517295837,0.8875340952708197,0.9528926105354113,0.3701930574856499,0.1961875,0.3790625,0.529375,0.6496875,0.7494375,0.001
1,4,0.2155731488019228,0.20592262968420982,2539119.0,1220.449951171875,1593.4613267977356,0.7931735515594482,0.8911984765926549,0.9535298057592446,0.367099920830671,0.19975,0.381,0.536375,0.6583125,0.7561875,0.001
1,5,0.20849738363176584,0.2019793838262558,2490729.75,1206.2685546875,1578.2045970025558,0.7971151471138,0.89331440259678,0.9539747385512349,0.37051891989637353,0.2031875,0.388125,0.5426875,0.6628125,0.7594375,0.001
1,6,0.20422555692493916,0.201869435608387,2489822.25,1204.85498046875,1577.9170605580002,0.7971890568733215,0.8946124219528719,0.9539831239912862,0.3597751011043583,0.203375,0.3896875,0.542375,0.664875,0.7608125,0.001
1,7,0.20189182506874204,0.2035975381731987,2509324.75,1216.7130126953125,1584.0848304304918,0.795600414276123,0.8955670120663862,0.953803253002774,0.3790346495609178,0.199625,0.3834375,0.5360625,0.6585,0.7540625,0.001
1,8,0.20034526754170656,0.19558073952794075,2411305.0,1187.011962890625,1552.8377249410191,0.8035847544670105,0.8964939379767217,0.954714513939665,0.3754693418246156,0.2113125,0.396,0.550625,0.67125,0.7658125,0.001
1,9,0.19756517931818962,0.19528450071811676,2407469.5,1186.865966796875,1551.6022363995226,0.8038971424102783,0.8969133628151209,0.9547505445552438,0.3767536323010936,0.2071875,0.3950625,0.5488125,0.672625,0.7655625,0.001
1,10,0.1980063975788653,0.19446224346756935,2397282.25,1184.3079833984375,1548.315939981243,0.8047269582748413,0.8975378479527761,0.9548463829859116,0.3762746343788895,0.20925,0.3963125,0.551375,0.6726875,0.766875,0.001
1,11,0.19675923930481076,0.19618496298789978,2418259.75,1191.5989990234375,1555.0754804831822,0.8030182123184204,0.8976877766906924,0.9546492541602408,0.3852152537306757,0.205375,0.3935625,0.5455,0.66825,0.76375,0.001
1,12,0.1953301248140633,0.19327439740300179,2383122.5,1177.659912109375,1543.7365384028456,0.8058803677558899,0.8977566034296576,0.9549799323085564,0.3603705344120754,0.21125,0.4005,0.5539375,0.6746875,0.7708125,0.001
1,13,0.19253667583689094,0.19263466447591782,2375136.75,1176.3179931640625,1541.1478676622824,0.8065308332443237,0.8980742104857586,0.9550554258458743,0.3626525863214229,0.2120625,0.40025,0.5539375,0.6759375,0.770625,0.001
1,14,0.1924361540004611,0.192465391010046,2373248.25,1174.7655029296875,1540.5350531552342,0.8066847324371338,0.8982818379549165,0.9550732973867126,0.3641682820000211,0.211,0.402875,0.5549375,0.6760625,0.7709375,0.001
1,15,0.19071714114397764,0.19254114851355553,2373728.0,1178.475830078125,1540.6907541748928,0.8066456317901611,0.8986432569584172,0.9550687566699062,0.3716855840532743,0.20825,0.3991875,0.5505625,0.6749375,0.76925,0.001
1,16,0.19204923510551453,0.19416196271777153,2393359.75,1184.070556640625,1547.0487225682325,0.8050464987754822,0.8985447204167197,0.9548833389121946,0.37730810092125233,0.207625,0.39525,0.5504375,0.6730625,0.7671875,0.001
1,17,0.19083970924839377,0.1916334480047226,2363011.5,1171.2818603515625,1537.2089968511114,0.8075185418128967,0.8987372585757354,0.9551702953369666,0.3575778829641365,0.2136875,0.400625,0.5563125,0.6769375,0.772,0.001
1,18,0.19042308954522014,0.1910623349249363,2355697.75,1169.81396484375,1534.8282477202458,0.8081142902374268,0.8989801893457874,0.9552397252457376,0.36236908270591467,0.21175,0.4021875,0.5548125,0.678625,0.7715,0.001
1,19,0.1895980704575777,0.19116035476326942,2356706.75,1171.846435546875,1535.1569138039276,0.8080320954322815,0.8991445366893954,0.9552301403399153,0.37141718860400386,0.213125,0.401125,0.5543125,0.677625,0.7706875,0.001
1,20,0.18806400382891297,0.19127721339464188,2357946.25,1172.607666015625,1535.5605653962334,0.807931125164032,0.8992439039329678,0.9552183686278664,0.36928563859883956,0.212,0.401,0.5548125,0.6761875,0.770375,0.001
1,21,0.18783511174842715,0.19067339971661568,2350648.75,1169.4986572265625,1533.1825559925994,0.808525562286377,0.899315326183177,0.955287718637832,0.3638855615139353,0.2120625,0.40275,0.5551875,0.6785625,0.772125,0.001
1,22,0.18738946691155434,0.1907021701335907,2350951.75,1169.6044921875,1533.2813668730212,0.8085008859634399,0.8992536135919852,0.9552848370110683,0.366398295436702,0.2125,0.40275,0.5566875,0.677625,0.7705,0.001
1,23,0.18637219350785017,0.1909041851758957,2353283.25,1171.1290283203125,1534.0414759712332,0.8083109855651855,0.8993970013451471,0.955262669910528,0.36885300000021987,0.2126875,0.4014375,0.554875,0.67575,0.7719375,0.001
1,24,0.18729010224342346,0.19120829179883003,2357342.25,1172.2735595703125,1535.363881951116,0.8079803586006165,0.8992749662118713,0.9552241045172444,0.36315851586123155,0.207,0.4021875,0.5566875,0.677125,0.7710625,0.001
1,25,0.18571087485179305,0.1926187016069889,2375405.0,1170.18798828125,1541.2348944920757,0.8065090179443359,0.8994928846925238,0.9550528878779824,0.35035472515456906,0.2155625,0.4041875,0.5575625,0.67525,0.77075,0.001
1,26,0.18671670649200678,0.19361316785216331,2387664.5,1173.5587158203125,1545.2069440693049,0.805510401725769,0.8995343161458134,0.9549370507928372,0.3441934046195876,0.2171875,0.404375,0.5545625,0.676875,0.771875,0.001
1,27,0.18581732641905546,0.1920749545097351,2367405.5,1175.762939453125,1538.637546662631,0.8071606159210205,0.8993142060453939,0.9551286344656875,0.37234877745246225,0.2093125,0.399375,0.55275,0.674375,0.769375,0.0005
1,28,0.18393786484375596,0.19003307446837425,2342761.0,1166.372802734375,1530.6080491098953,0.8091681003570557,0.8995397030231935,0.9553627991138381,0.3603521744741035,0.2149375,0.4035625,0.56,0.6770625,0.77275,0.0005
1,29,0.18426280422136188,0.19623301550745964,2418232.75,1192.9539794921875,1555.066799208317,0.8030204176902771,0.899470970126063,0.9546495073327042,0.3826091477916847,0.2036875,0.390875,0.545,0.671625,0.7621875,0.0005
1,30,0.18412904581055045,0.1906028650701046,2349949.0,1166.3050537109375,1532.954337219475,0.8085825443267822,0.8995132153571095,0.9552943741935949,0.35728562169730144,0.2175,0.405,0.5596875,0.67925,0.771625,0.0005
1,31,0.18352397624403238,0.1905996985733509,2349541.0,1169.06201171875,1532.8212550718365,0.8086158037185669,0.8994180832374581,0.9552982552750787,0.3656175957233687,0.2125625,0.403625,0.5575625,0.67725,0.771625,0.0005
1,32,0.1831239089369774,0.19065755978226662,2350242.75,1170.1424560546875,1533.0501459508753,0.8085586428642273,0.8995846281851096,0.9552915801186567,0.36886196917385217,0.21075,0.40475,0.5564375,0.6766875,0.7710625,0.0005
1,33,0.1828840533271432,0.19016492366790771,2344407.5,1166.5423583984375,1531.1458127820486,0.8090339303016663,0.8994769028994725,0.9553471162843397,0.358327575575774,0.214625,0.4039375,0.5590625,0.678375,0.773,0.0005
1,34,0.1827870630659163,0.19098349288105965,2354256.25,1171.0059814453125,1534.3585793418695,0.8082317113876343,0.8994333741740289,0.955253422208698,0.36867161791160646,0.211375,0.4024375,0.556625,0.6753125,0.771125,0.00025
1,35,0.18307464057579637,0.19019028916954994,2344670.5,1166.240478515625,1531.2316937681246,0.8090125322341919,0.8994999458536127,0.9553446117327467,0.3628687113479613,0.2125625,0.404,0.5583125,0.678625,0.771875,0.00025
