epoch,train_loss,val_loss,val_mse,val_mae,val_rmse,val_r2,val_corr,val_nrmse,val_mape_score,val_acc_like_0.1,val_acc_like_0.2,val_acc_like_0.3,val_acc_like_0.4,val_acc_like_0.5,lr
1,0.8508886955678463,0.4879690408706665,6009469.0,1884.0301513671875,2451.4218323250693,0.5187422037124634,0.7322975978334407,0.9382117610092247,0.2089117359092797,0.1265625,0.24825,0.36178125,0.46884375,0.56503125,0.001
2,0.29535268479958177,0.2241712100803852,2759347.0,1269.2532958984375,1661.128231052618,0.7790225744247437,0.8845530633507128,0.9581311601368684,0.2819919316082648,0.19128125,0.37128125,0.522,0.64471875,0.74409375,0.001
3,0.2007324155420065,0.20049387589097023,2468334.0,1181.0386962890625,1571.0932499377623,0.8023278117179871,0.8961498711794299,0.9604004974077118,0.3054184544863731,0.2146875,0.4049375,0.5625,0.6828125,0.77615625,0.001
4,0.1909382799640298,0.19420314021408558,2391207.75,1161.8929443359375,1546.3530483042998,0.8085043430328369,0.8992895322244887,0.9610240757209385,0.30928925039663063,0.21959375,0.41065625,0.56865625,0.689125,0.78128125,0.001
5,0.1875322451815009,0.19196364656090736,2363671.0,1155.9229736328125,1537.4234940314916,0.810709536075592,0.9004033274899229,0.961249145688993,0.309949210144965,0.22075,0.41209375,0.56940625,0.6911875,0.7830625,0.001
6,0.1862956788390875,0.19214756973087788,2366233.5,1161.0050048828125,1538.256643086582,0.8105043172836304,0.9011042693994612,0.9612281461154998,0.30482454164078193,0.216625,0.40796875,0.56684375,0.68940625,0.7806875,0.001
7,0.1855104574933648,0.1900560837239027,2340394.25,1150.0157470703125,1529.8347132942172,0.8125736117362976,0.9014322919376242,0.96144042137711,0.32020567410051365,0.220875,0.41571875,0.5725,0.69278125,0.78509375,0.001
8,0.18485687347128987,0.19047867320477962,2345482.75,1148.665283203125,1531.496898462416,0.8121660947799683,0.9017805515969276,0.9613985258970807,0.33481840690835013,0.22425,0.41675,0.5745,0.69221875,0.786,0.001
9,0.1836968925781548,0.1897115707397461,2336299.0,1151.2464599609375,1528.4956656791671,0.8129016160964966,0.9020202486742807,0.9614741721551148,0.32509861540040347,0.22071875,0.4134375,0.57,0.692125,0.78409375,0.001
10,0.18256036331877112,0.1895565129816532,2334387.5,1151.49609375,1527.8702497267234,0.8130546808242798,0.902202441435547,0.9614899358029002,0.3174063739873378,0.21946875,0.41284375,0.5704375,0.69209375,0.7849375,0.001
11,0.18253425136208534,0.18933604657649994,2331490.25,1144.377197265625,1526.9218218363376,0.8132866621017456,0.9023549615669325,0.9615138409865712,0.33518698386024626,0.22525,0.41984375,0.57509375,0.69528125,0.786625,0.001
12,0.1829156605526805,0.18850322254002094,2321240.0,1142.76611328125,1523.5616167388832,0.8141075372695923,0.9024977409081758,0.9615985351639998,0.33281417872904984,0.22584375,0.4200625,0.57475,0.6959375,0.78759375,0.001
13,0.18191657355055213,0.1880066618323326,2315253.75,1144.20458984375,1521.5957906093195,0.8145869970321655,0.9026095597173004,0.9616480839332513,0.32809904399775586,0.22340625,0.41640625,0.57396875,0.69521875,0.78671875,0.001
14,0.18108762940391898,0.18787282891571522,2313709.5,1143.9217529296875,1521.0882617389432,0.8147106170654297,0.9027318860625196,0.9616608762298378,0.327099424076906,0.22259375,0.41746875,0.57440625,0.69553125,0.78734375,0.001
15,0.18099076068028808,0.18827574886381626,2318735.75,1146.358642578125,1522.739554224556,0.8143081068992615,0.9027308871634668,0.9616192553005471,0.32673362117148963,0.2214375,0.41590625,0.5715,0.69503125,0.78596875,0.001
16,0.18197296233847737,0.19022733718156815,2342779.75,1156.0731201171875,1530.6141741144304,0.8123825788497925,0.9027676976337973,0.9614207750188994,0.3151032684748958,0.21784375,0.41071875,0.56615625,0.6915625,0.7833125,0.001
17,0.1821439634077251,0.19170019775629044,2360965.5,1163.1407470703125,1536.5433609241231,0.8109261989593506,0.9028145702875113,0.9612713294984315,0.3062420068159828,0.213625,0.4070625,0.56428125,0.689125,0.78171875,0.001
18,0.18142365152016282,0.18801352195441723,2315407.75,1145.9122314453125,1521.6463945345515,0.8145745992660522,0.9029465838555224,0.9616468084581842,0.31842171451364076,0.22140625,0.41546875,0.57146875,0.69496875,0.787375,0.001
19,0.1801773915067315,0.1902541071176529,2342795.75,1146.3199462890625,1530.6194007655854,0.8123813271522522,0.9028919217288527,0.9614206432808337,0.3545512149895485,0.22725,0.41925,0.575125,0.695,0.786125,0.001
20,0.18243830697610974,0.19093220122158527,2351062.0,1147.3436279296875,1533.3173187569494,0.8117192983627319,0.9029645836140229,0.9613526420908998,0.35573607009171965,0.2271875,0.41890625,0.575375,0.69440625,0.78540625,0.0005
21,0.1797819072380662,0.18862318061292171,2322992.25,1148.560546875,1524.1365588424155,0.813967227935791,0.9030480429866394,0.9615840437126999,0.32207775932445054,0.21965625,0.41471875,0.5696875,0.693375,0.785875,0.0005
22,0.17983159376308322,0.18763657100498676,2310762.5,1144.1552734375,1520.119238744119,0.8149466514587402,0.903125026267942,0.9616853005143906,0.32826893498617365,0.22190625,0.4165625,0.57275,0.69628125,0.7864375,0.0005
23,0.17952299397438765,0.18710164353251457,2304106.0,1140.2874755859375,1517.9281932950582,0.8154796957969666,0.9030818668923503,0.9617405259505277,0.33695738448758716,0.22471875,0.41809375,0.57559375,0.69634375,0.7873125,0.0005
24,0.17900010524317622,0.18933126889169216,2331412.0,1143.833740234375,1526.8961981745845,0.8132929801940918,0.9030997795876897,0.9615144868325514,0.35521309420095254,0.22646875,0.420125,0.57596875,0.69621875,0.7874375,0.0005
25,0.17908662743866444,0.18702314794063568,2303218.25,1140.34375,1517.635743516869,0.8155508041381836,0.9031322397635674,0.9617478971652853,0.32916752863487153,0.2238125,0.41859375,0.574,0.6976875,0.78753125,0.0005
26,0.17855324549600482,0.18817702680826187,2317227.5,1141.046630859375,1522.2442313899567,0.8144289255142212,0.9031227109082005,0.9616317399432464,0.3507699674858804,0.22721875,0.42096875,0.57609375,0.6979375,0.787125,0.0005
27,0.17957500973716378,0.18712726421654224,2304374.0,1138.7669677734375,1518.0164689488715,0.8154582381248474,0.9031675173049051,0.9617383009572104,0.34220749692584257,0.2278125,0.42125,0.57646875,0.69828125,0.787125,0.0005
28,0.17903677793219686,0.18774397298693657,2312112.75,1145.134765625,1520.5633002279124,0.8148385286331177,0.903222526538387,0.9616741079172106,0.32260042941050465,0.22059375,0.4155625,0.5715625,0.695125,0.7870625,0.0005
29,0.17877679225057364,0.18759830482304096,2310348.75,1143.8494873046875,1519.983141353877,0.8149797916412354,0.9031745310641931,0.961688730857534,0.32784328132175206,0.22275,0.41521875,0.57296875,0.69575,0.78715625,0.0005
30,0.17924984963610768,0.186887102201581,2301477.5,1139.35302734375,1517.062127930165,0.8156902194023132,0.9032143722331637,0.9617623551816465,0.3413229447606331,0.2253125,0.42025,0.57525,0.698875,0.78834375,0.0005
31,0.17858840944245458,0.18784229457378387,2313363.0,1145.1112060546875,1520.974358758227,0.814738392829895,0.9032143275946155,0.9616637471615156,0.3227525270830073,0.2196875,0.4160625,0.57171875,0.694875,0.78659375,0.0005
32,0.17851870320737362,0.187148192897439,2304720.5,1142.1014404296875,1518.1305938554824,0.8154305219650269,0.9032513163909864,0.9617354244318765,0.3277798704292714,0.2234375,0.41734375,0.57378125,0.69653125,0.787875,0.0005
33,0.1779817226342857,0.1868218332529068,2300724.75,1139.8804931640625,1516.8140129890678,0.8157504796981812,0.9032586865111808,0.9617686089340916,0.3297484502002719,0.2236875,0.41765625,0.57571875,0.6975625,0.78765625,0.0005
