fold,epoch,train_loss,val_loss,val_mse,val_mae,val_rmse,val_r2,val_corr,val_nrmse,val_mape_score,val_acc_like_0.1,val_acc_like_0.2,val_acc_like_0.3,val_acc_like_0.4,val_acc_like_0.5,lr
1,1,0.8254877077415586,0.3501855358481407,4309166.0,1622.400390625,2075.853077652655,0.6489925980567932,0.8407888250256966,0.9394617904360139,0.23496507570688185,0.135875,0.2656875,0.39275,0.51375,0.626875,0.001
1,2,0.24959302274510264,0.20170294120907784,2486506.5,1193.934814453125,1576.8660374299398,0.7974591255187988,0.8943552522343131,0.9540137750325703,0.41501162596428914,0.2089375,0.39975,0.54975,0.6709375,0.7655,0.001
1,3,0.1973082534968853,0.1913793832063675,2359693.75,1150.6512451171875,1536.1294704548832,0.8077887892723083,0.8994036517760933,0.9552017776205194,0.4161913492056719,0.224625,0.418875,0.569,0.6905625,0.7844375,0.001
1,4,0.19228086760267615,0.18798436224460602,2318197.75,1140.6680908203125,1522.5628886847335,0.811168909072876,0.9011266980589826,0.9555974205391392,0.42057900125242037,0.2276875,0.42175,0.572375,0.6921875,0.7856875,0.001
1,5,0.18875070568174124,0.18547404557466507,2287395.5,1137.3052978515625,1512.413799196503,0.8136779069900513,0.9021608289913161,0.955893398955404,0.411019039219046,0.227375,0.4174375,0.5715,0.6926875,0.7880625,0.001
1,6,0.18707204377278686,0.18460845202207565,2276935.25,1136.481689453125,1508.951705655287,0.8145299553871155,0.9027980058535168,0.9559943641665669,0.4073801758736914,0.2278125,0.4136875,0.57075,0.694375,0.7865,0.001
1,7,0.18642260786145926,0.1835060566663742,2263537.25,1132.2459716796875,1504.5056497069063,0.8156213164329529,0.9032161923463176,0.9561240247237777,0.41340155837346065,0.2314375,0.4145,0.5728125,0.6950625,0.78825,0.001
1,8,0.18694846658036113,0.18497535586357117,2281335.25,1129.5048828125,1510.4089677964707,0.814171552658081,0.9036470990374531,0.955951865956148,0.4240495719876616,0.233,0.423875,0.5785625,0.6964375,0.7885625,0.001
1,9,0.18535613408312201,0.18250012770295143,2250960.25,1126.3214111328125,1500.3200491895054,0.8166458010673523,0.9038650991245102,0.9562460896059225,0.4170160853737288,0.2315,0.421,0.57575,0.6970625,0.7896875,0.001
1,10,0.18466687854379416,0.18227863684296608,2248162.0,1125.4324951171875,1499.3872081620545,0.8168737292289734,0.9039525091503332,0.956273294096557,0.41725448047250796,0.2329375,0.4183125,0.579,0.6975,0.789125,0.001
1,11,0.1841778182424605,0.18186211213469505,2243129.25,1128.21435546875,1497.707998910335,0.8172836303710938,0.90424497285128,0.9563222649619216,0.4061561999937057,0.227125,0.417125,0.5753125,0.697125,0.7895,0.001
1,12,0.184907634742558,0.18380212038755417,2266959.75,1126.031982421875,1505.6426368830023,0.8153425455093384,0.9042839131596294,0.9560908667085602,0.4233397521078273,0.2326875,0.424875,0.5805625,0.698125,0.7896875,0.001
1,13,0.18282767524942756,0.18119538947939873,2234891.0,1125.8192138671875,1494.955183274736,0.8179547190666199,0.904524359136921,0.9564025454652159,0.40962828195267,0.2281875,0.4174375,0.5774375,0.6984375,0.7901875,0.001
1,14,0.18269132124260068,0.1807510405778885,2229418.5,1122.1856689453125,1493.1237390116064,0.818400502204895,0.9046832546368745,0.9564559559680109,0.414077802581046,0.2305,0.421875,0.579125,0.6975,0.7906875,0.001
1,15,0.18243583850562572,0.18190590292215347,2243576.25,1121.65478515625,1497.857219497239,0.8172472715377808,0.904733536756822,0.9563179132343074,0.41771282751020217,0.233125,0.4219375,0.5823125,0.699,0.7906875,0.001
1,16,0.1828231643885374,0.18080733343958855,2230014.25,1122.7249755859375,1493.3232235520882,0.8183519840240479,0.9046725510539784,0.9564501383901455,0.4095556847950437,0.2293125,0.419,0.5801875,0.7009375,0.79125,0.001
