epoch,train_loss,val_loss,val_mse,val_mae,val_rmse,val_r2,val_corr,val_nrmse,val_mape_score,val_acc_like_0.1,val_acc_like_0.2,val_acc_like_0.3,val_acc_like_0.4,val_acc_like_0.5,lr
1,0.7425897568464279,0.3731900565326214,4596788.0,1640.26171875,2144.012126831376,0.6318742632865906,0.7974291133167769,0.9459600416603409,0.34684434218303917,0.147625,0.28875,0.41953125,0.53503125,0.63346875,0.001
2,0.2845039772801101,0.23606737330555916,2909986.25,1298.199462890625,1705.8681807220628,0.7669588327407837,0.8760697868242019,0.957003486936704,0.34073596395901945,0.1931875,0.3675,0.51640625,0.63859375,0.7325625,0.001
3,0.2238869108259678,0.21850272081792355,2693494.25,1248.16943359375,1641.1868418921717,0.7842962145805359,0.885944737883219,0.9586337840847367,0.34926001214410785,0.2029375,0.3826875,0.53290625,0.6550625,0.7505,0.001
4,0.21420405106619,0.21582126058638096,2661082.0,1243.7900390625,1631.2823176875302,0.7868919372558594,0.8897819847659728,0.9588834282302593,0.4146587558331259,0.2004375,0.38259375,0.5345,0.6548125,0.75159375,0.001
5,0.20709107583388686,0.20728326588869095,2555897.0,1214.203369140625,1598.7172983363882,0.7953154444694519,0.8918921965080638,0.9597042315583014,0.38934072748621035,0.20771875,0.39321875,0.54490625,0.6656875,0.76175,0.001
6,0.2039167140610516,0.20467619597911835,2523818.25,1206.9420166015625,1588.652967139142,0.797884464263916,0.8933773542679369,0.9599579036489624,0.39987123820917003,0.20846875,0.39559375,0.54790625,0.667125,0.7635625,0.001
7,0.20130320265889168,0.20274853333830833,2500183.0,1200.5245361328125,1581.1966987063943,0.7997772097587585,0.8944701080914028,0.9601458393562433,0.39306512440865277,0.21178125,0.39875,0.55009375,0.67121875,0.76559375,0.001
8,0.19839845225214958,0.20117846690118313,2480949.75,1195.60546875,1575.1030918641484,0.8013174533843994,0.8952872711319652,0.9602994290938069,0.40112546077908046,0.21415625,0.39871875,0.55109375,0.672875,0.7678125,0.001
9,0.19862186210229993,0.2001396045088768,2468146.0,1192.432861328125,1571.0334178495377,0.8023428916931152,0.8957968937361842,0.9604020054791983,0.4091069143030929,0.21634375,0.40003125,0.5524375,0.6741875,0.76890625,0.001
10,0.1955439238809049,0.19989326782524586,2464950.5,1191.470947265625,1570.016082720174,0.802598774433136,0.8961190721857385,0.960427647474092,0.40206296842836214,0.21596875,0.40196875,0.553625,0.6730625,0.76878125,0.001
