fold,epoch,train_loss,val_loss,val_mse,val_mae,val_rmse,val_r2,val_corr,val_nrmse,val_mape_score,val_acc_like_0.1,val_acc_like_0.2,val_acc_like_0.3,val_acc_like_0.4,val_acc_like_0.5,lr
1,1,0.7687063412740827,0.35286645591259,15281662.0,3019.58837890625,3909.1766396518847,0.634204626083374,0.8013678454012012,0.9483067953281764,0.20281728280322106,0.1464375,0.2865625,0.4141875,0.527625,0.623125,0.001
1,2,0.30122670670971274,0.25652695447206497,11114298.0,2560.39111328125,3333.811332394201,0.73395836353302,0.8587582169891238,0.9559151689911753,0.20451593455691378,0.1728125,0.3355625,0.4840625,0.600875,0.69975,0.001
1,3,0.2499878262169659,0.23999078944325447,10401071.0,2465.877197265625,3225.0691465455434,0.7510308027267456,0.8679886744209301,0.9573531270543947,0.23646596836648417,0.1826875,0.348625,0.500875,0.6183125,0.7200625,0.001
1,4,0.24189196340739727,0.23328499495983124,10108498.0,2440.7666015625,3179.3864187921545,0.7580340504646301,0.8712167379741547,0.9579572150282586,0.24694643776143796,0.1813125,0.3541875,0.5029375,0.622625,0.7165,0.001
1,5,0.23763645207509398,0.23080649226903915,10001566.0,2424.40380859375,3162.5252568161413,0.7605937123298645,0.8727855633488715,0.9581801794981138,0.23267169457757256,0.1834375,0.356,0.5060625,0.62575,0.7205625,0.001
1,6,0.23499622335657477,0.22878558561205864,9914661.0,2410.948486328125,3148.7554684351085,0.7626739144325256,0.8736219353900774,0.9583622650252421,0.23655651023560087,0.18575,0.3610625,0.509625,0.6298125,0.72275,0.001
1,7,0.2338229501619935,0.23003751039505005,9973133.0,2404.04248046875,3158.026757328063,0.7612742781639099,0.8740766180992775,0.9582396656447347,0.20978327467263128,0.1875625,0.366625,0.5118125,0.631375,0.73025,0.001
1,8,0.23294381517916918,0.22637797892093658,9810872.0,2394.4892578125,3132.231153666664,0.7651582956314087,0.8749165478022346,0.9585807751781789,0.21845605265607212,0.18775,0.36425,0.5158125,0.6335625,0.72425,0.001
1,9,0.2321009961888194,0.22590359300374985,9792774.0,2385.0205078125,3129.3408251579117,0.7655915021896362,0.8752793237506293,0.958618995590543,0.21360015970470925,0.1904375,0.368375,0.514125,0.6365625,0.7300625,0.001
1,10,0.23170147649943829,0.2261318825185299,9803562.0,2383.7763671875,3131.064036394018,0.7653332948684692,0.8756115543494912,0.9585962086153479,0.2045787692381681,0.191625,0.3689375,0.5145,0.6365625,0.731625,0.001
1,11,0.22990143997594714,0.22852124273777008,9908367.0,2391.935546875,3147.7558672806886,0.762824535369873,0.8757364455005769,0.9583754833041354,0.19973304189851687,0.1935625,0.370375,0.514875,0.6334375,0.73225,0.001
1,12,0.23113793367519975,0.2245657928287983,9732762.0,2384.1015625,3119.7374889564026,0.7670280337333679,0.8763039159065195,0.9587459858162497,0.21777524700044648,0.19025,0.3616875,0.5131875,0.635125,0.727875,0.001
1,13,0.22902109008282423,0.22347503527998924,9686452.0,2374.1689453125,3112.306540172417,0.7681365013122559,0.876443606354829,0.9588442493616981,0.20463900665648196,0.192875,0.3689375,0.5153125,0.6350625,0.732125,0.001
1,14,0.22966348053887486,0.22905023023486137,9925173.0,2417.331787109375,3150.42425714379,0.7624223232269287,0.8766972305132189,0.9583401977092255,0.21934001534536698,0.190375,0.354125,0.505375,0.6273125,0.7211875,0.001
1,15,0.22839830722659826,0.22620994970202446,9807997.0,2381.533447265625,3131.7721820081356,0.7652271389961243,0.8765790032146966,0.9585868444142532,0.19065156837504274,0.194,0.3690625,0.5171875,0.6368125,0.7345,0.001
1,16,0.2286549718119204,0.22394026443362236,9708606.0,2369.060546875,3115.863604203496,0.767606258392334,0.8769079567909484,0.9587972123367849,0.19953899082263288,0.1948125,0.37225,0.518625,0.6366875,0.7343125,0.001
1,17,0.2270574956201017,0.222130686044693,9628725.0,2364.568603515625,3103.018691532489,0.7695183157920837,0.8772661339664674,0.958967067720898,0.20530015850138025,0.1950625,0.36875,0.5179375,0.63775,0.7344375,0.001
1,18,0.22745599830523133,0.22248205915093422,9642855.0,2370.887939453125,3105.2946720077953,0.7691801190376282,0.8774123448529838,0.9589369711723447,0.2027275561843059,0.1959375,0.3663125,0.5158125,0.6371875,0.7315,0.001
1,19,0.2263450617901981,0.2218705229461193,9618180.0,2362.75390625,3101.319074200525,0.7697707414627075,0.8774162535666452,0.95898954270085,0.20349746716415296,0.1935,0.3699375,0.518625,0.637375,0.7341875,0.001
1,20,0.22658763779327273,0.22166604548692703,9608401.0,2362.493896484375,3099.7420860452244,0.7700048089027405,0.8776019366601018,0.9590103960873791,0.2045629945929833,0.1948125,0.369875,0.517625,0.6388125,0.7343125,0.001
1,21,0.2256811372935772,0.22156479954719543,9603835.0,2364.395263671875,3099.005485635674,0.7701141238212585,0.8776759129322531,0.9590201365619706,0.2054888693267822,0.1970625,0.367,0.51625,0.6358125,0.7335625,0.001
1,22,0.22608077200129628,0.22159487009048462,9605960.0,2359.84521484375,3099.348318598605,0.7700632810592651,0.8778420490105978,0.9590156030920984,0.1919525273656686,0.1940625,0.3696875,0.5205625,0.63975,0.7364375,0.001
1,23,0.22547151986509562,0.2265946976840496,9825459.0,2374.7314453125,3134.558820631701,0.7648091316223145,0.8770846296616492,0.9585499951505866,0.19255475843887881,0.1980625,0.372875,0.5208125,0.6370625,0.735125,0.001
1,24,0.2272328780964017,0.2210422269999981,9581406.0,2358.920166015625,3095.384628765866,0.7706509828567505,0.8778951917298138,0.9590680171548709,0.20775417715867273,0.19675,0.3699375,0.519625,0.638625,0.7354375,0.001
