epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,train_prec0,val_prec0,train_prec1,val_prec1,train_rec0,val_rec0,train_rec1,val_rec1
1,0.7050915505204882,0.6881476044654846,0.5293333333333333,0.526,0.49829911863893417,0.561063417335918,0.4875,0.45161290322580644,0.5297085201793722,0.5283797729618163,0.009211147850732168,0.029723991507430998,0.9913973982375157,0.9678638941398866
2,0.6975678861141205,0.6814664602279663,0.5325555555555556,0.559,0.5631005799820845,0.6253837910731701,0.5290322580645161,0.6973684210526315,0.5327475102519039,0.5476190476190477,0.05810108644307983,0.11252653927813164,0.9540495174150231,0.9565217391304348
3,0.689648620571409,0.6709017157554626,0.5544444444444444,0.588,0.6222887487757223,0.6726668512877318,0.6521739130434783,0.7185185185185186,0.5457405614714425,0.5676300578034682,0.11336797354747284,0.2059447983014862,0.946286193873269,0.9281663516068053
4,0.6787821778229305,0.658186137676239,0.5904444444444444,0.617,0.6731688759004054,0.7141784964620985,0.7143974960876369,0.7857142857142857,0.5699300699300699,0.5862884160756501,0.2156353330184223,0.25690021231422505,0.9234158623583718,0.9376181474480151
5,0.6666127307074411,0.6444913148880005,0.622,0.637,0.7123891013954735,0.7453794564916378,0.7583850931677019,0.7842105263157895,0.5922868741542625,0.6024691358024692,0.28837978271138404,0.31634819532908703,0.9183801930339908,0.9224952741020794
6,0.6538395081247602,0.6312285661697388,0.6471111111111111,0.662,0.7379152806715654,0.7663098663905378,0.7793030623020063,0.7955555555555556,0.6118772867998874,0.6232258064516129,0.34860651865847897,0.38004246284501064,0.9122954259336971,0.9130434782608695
7,0.6422162456171853,0.61937016248703,0.6667777777777778,0.673,0.754110139111257,0.7775316163574264,0.7833868747131711,0.7834645669291339,0.6295264623955432,0.6353887399463807,0.4031648559282003,0.42250530785562634,0.9009651699538397,0.8960302457466919
8,0.6314595341682434,0.6093984246253967,0.6777777777777778,0.687,0.7624229629217032,0.7837926785707118,0.7738095238095238,0.8015267175572519,0.6421389396709324,0.6463414634146342,0.4452054794520548,0.445859872611465,0.8843894250944188,0.9017013232514177
9,0.6223739598478589,0.6018005013465881,0.6832222222222222,0.699,0.7671618173604522,0.7887453393214774,0.7747318235995232,0.7689873417721519,0.6476939688415857,0.6666666666666666,0.46055739253660843,0.5159235668789809,0.8810323122114981,0.8620037807183365
10,0.6157373820032392,0.5945745706558228,0.6863333333333334,0.694,0.7720564011218657,0.7892911755144305,0.7643312101910829,0.7978339350180506,0.6534512715210867,0.6542185338865837,0.4818138875767596,0.4692144373673036,0.8680234997901805,0.8941398865784499
11,0.6108919603484018,0.5876478552818298,0.688,0.707,0.7711092397713214,0.7914664932834052,0.7623252391464312,0.7927631578947368,0.655842088506845,0.6695402298850575,0.4893717524799244,0.5116772823779193,0.8644565673520772,0.8809073724007561
12,0.6055081086499351,0.5827566385269165,0.6958888888888889,0.712,0.7743632268879844,0.7935274262619452,0.7526155923050962,0.786833855799373,0.668047043233394,0.6769456681350955,0.5266887104393009,0.5329087048832272,0.846202266051196,0.8714555765595463
13,0.6013295778206417,0.5786200761795044,0.6933333333333334,0.716,0.7764037146287541,0.7935314397633639,0.7560806115357888,0.7894736842105263,0.6638353479255146,0.6809453471196455,0.5139348134152102,0.5414012738853503,0.8527066722618548,0.8714555765595463
14,0.5974314519337245,0.5749250650405884,0.6934444444444444,0.711,0.7764886781685182,0.7930899546072989,0.7485675766767779,0.7973856209150327,0.6663351566384883,0.6729106628242075,0.5245630609352858,0.5180467091295117,0.8434746118338229,0.8827977315689981
15,0.595296699660165,0.5733436942100525,0.6962222222222222,0.723,0.7769464009652691,0.7953916976709651,0.7528658125421444,0.7184684684684685,0.668379184620484,0.7266187050359713,0.5273972602739726,0.6772823779193206,0.846202266051196,0.7637051039697542
16,0.5923879819256919,0.5689055919647217,0.7022222222222222,0.715,0.7758787445158997,0.7945548826251511,0.7354545454545455,0.790625,0.6829824561403509,0.6794117647058824,0.5732168162494096,0.5371549893842887,0.81682752832564,0.8733459357277883
17,0.5895772303853716,0.5667868256568909,0.7001111111111111,0.734,0.7778004220574369,0.7956164537504163,0.7459147709067606,0.7676240208877284,0.6757952032658615,0.713128038897893,0.5498346717052432,0.6242038216560509,0.8336130927402434,0.831758034026465
18,0.5893744153635843,0.5653757452964783,0.7023333333333334,0.733,0.778215105580764,0.7956806697731168,0.738423796381478,0.7475728155339806,0.6818261021083812,0.7227891156462585,0.5687293339631554,0.6539278131634819,0.8210239194292908,0.8034026465028355
19,0.5875959438937051,0.5632023215293884,0.7134444444444444,0.719,0.7795603492380587,0.7953314951496835,0.7336910477266309,0.7668539325842697,0.7003114123465837,0.6925465838509317,0.6136041568256967,0.5796178343949044,0.802140159462862,0.8431001890359168
20,0.5869018716471536,0.5626171827316284,0.704,0.727,0.7779712906985018,0.7947415104411238,0.7400611620795107,0.7291666666666666,0.6834205933682374,0.7253521126760564,0.5715635333018422,0.6687898089171974,0.8216533780948384,0.77882797731569
21,0.5854060769081115,0.5607030987739563,0.7123333333333334,0.731,0.7783297035310143,0.7952993871383335,0.7301987125664707,0.7686170212765957,0.7005712179841533,0.7083333333333334,0.6162021728861596,0.613588110403397,0.7977339488040285,0.8355387523629489
22,0.5838655854974474,0.5595120191574097,0.7126666666666667,0.721,0.7802297747130666,0.7949461990134814,0.7317210348706412,0.7727272727272727,0.7002204261572373,0.6929012345679012,0.6145488899385924,0.5774946921443737,0.7998321443558539,0.8487712665406427
23,0.583662200825555,0.5587893128395081,0.7126666666666667,0.733,0.7798453450486054,0.7950505500503695,0.7366456059735784,0.75,0.6975353388909025,0.7212837837837838,0.605810108644308,0.6496815286624203,0.807595467897608,0.8071833648393195
24,0.583704024553299,0.5587167739868164,0.7127777777777777,0.724,0.7789525712658016,0.7953455424046494,0.7292187934389769,0.7171492204899778,0.7018323153803443,0.7295825771324864,0.6195087387812943,0.6836518046709129,0.7956357532522031,0.7599243856332704
25,0.5812377606119429,0.5577676296234131,0.7141111111111111,0.726,0.7792192314043084,0.7956806697731168,0.729103448275862,0.724373576309795,0.704,0.7272727272727273,0.6242324043457723,0.6751592356687898,0.7939571968107427,0.7712665406427222
26,0.5798778291259493,0.557013988494873,0.7138888888888889,0.727,0.779693406750025,0.7950987120673948,0.7262067084810472,0.7291666666666666,0.7054190886930433,0.7253521126760564,0.6289560699102503,0.6687898089171974,0.7893411665967268,0.77882797731569
27,0.5819428380046572,0.5564100742340088,0.7167777777777777,0.723,0.7799758504332471,0.7955482242262973,0.7236527740907884,0.7787356321839081,0.7118287789031148,0.6932515337423313,0.6438356164383562,0.5753715498938429,0.7815778430549727,0.8544423440453687
28,0.580143289906638,0.5559134483337402,0.7101111111111111,0.73,0.7803816634557768,0.7953515626567773,0.7266387726638772,0.7723577235772358,0.6991689750692521,0.705229793977813,0.6152574397732641,0.6050955414012739,0.7943768359211079,0.8412098298676749
29,0.5791759814534868,0.5554351806640625,0.7133333333333334,0.732,0.7807856676890373,0.7960017498866185,0.7257096069868996,0.744578313253012,0.7048350824587706,0.7230769230769231,0.6280113367973548,0.6560509554140127,0.7891313470415443,0.7996219281663516
30,0.5794433027505874,0.5549379587173462,0.7182222222222222,0.73,0.7809880786415984,0.7956365212575103,0.7222513089005236,0.7570332480818415,0.7152509652509652,0.7126436781609196,0.6516296646197449,0.6284501061571125,0.7773814519513219,0.8204158790170132
31,0.5792580417224339,0.5547538995742798,0.7146666666666667,0.733,0.780927025809292,0.7955723052348099,0.7215425531914894,0.7628865979381443,0.7097328244274809,0.7140522875816994,0.6407652338214455,0.6284501061571125,0.7803189257238775,0.8260869565217391
32,0.579301153762,0.5545159578323364,0.7116666666666667,0.727,0.7795051439984572,0.7959716486259778,0.7327463788696393,0.7345971563981043,0.6981200949078299,0.7214532871972318,0.6093528578176665,0.6581740976645435,0.802559798573227,0.7882797731568998
33,0.57737090247018,0.5542919635772705,0.7161111111111111,0.73,0.7803067597576996,0.7959174663568243,0.718335500650195,0.7518796992481203,0.7144519883608147,0.7154742096505824,0.6523382144544166,0.6369426751592356,0.7727654217373059,0.8128544423440454
34,0.5775518766471318,0.5547779202461243,0.7096666666666667,0.728,0.7805096414910291,0.7958351895777396,0.7233397630201157,0.714902807775378,0.7004282256563024,0.7392923649906891,0.6199811053377421,0.70276008492569,0.7893411665967268,0.7504725897920604
35,0.5769391068390437,0.5541325211524963,0.7132222222222222,0.724,0.780981091263875,0.7956445482603478,0.7198723064644852,0.7191011235955056,0.7084525853844686,0.7279279279279279,0.6391119508738782,0.6794055201698513,0.7790600083927822,0.7637051039697542
36,0.5767975717782974,0.5535830855369568,0.7156666666666667,0.73,0.7804824600961264,0.7959234866089526,0.7220896313975073,0.7364705882352941,0.7110346146490725,0.7252173913043478,0.6431270666036845,0.6645435244161358,0.7801091061686949,0.7882797731568998
37,0.5762360100235258,0.5535820722579956,0.7174444444444444,0.729,0.7818590478414356,0.795807095067808,0.7186449444013447,0.7702702702702703,0.7165400350672122,0.7047619047619048,0.6563533301842229,0.6050955414012739,0.7717163239613932,0.8393194706994329
38,0.5771944684641702,0.5531477928161621,0.7182222222222222,0.734,0.7808416162666946,0.79580107481568,0.7244843997884717,0.7648578811369509,0.713683403602913,0.7145187601957586,0.6471421823334907,0.6284501061571125,0.7813680234997902,0.8279773156899811
39,0.5776517697743007,0.5533321499824524,0.7146666666666667,0.73,0.780554167440564,0.7964532687962306,0.7217784877529286,0.778393351800554,0.7095728451563692,0.702660406885759,0.6402928672649977,0.5966029723991507,0.7807385648342425,0.8487712665406427
40,0.5758412769862584,0.5526125431060791,0.7153333333333334,0.735,0.7809540585365834,0.7967763556604417,0.7230522945570971,0.7668393782383419,0.7098248286367098,0.7149837133550488,0.6400566839867737,0.6284501061571125,0.7822073017205203,0.8298676748582231
41,0.576837004508291,0.5544641613960266,0.7162222222222222,0.722,0.7819028304529149,0.7966278561079471,0.727149810708491,0.6895874263261297,0.7086005281026028,0.7556008146639511,0.6350968351440718,0.7452229299363057,0.7882920688208142,0.7013232514177694
42,0.5751505562237331,0.5529966354370117,0.7148888888888889,0.73,0.7808669888723283,0.796647923615041,0.7150593089221248,0.778393351800554,0.7147598594299102,0.702660406885759,0.6549362305148796,0.5966029723991507,0.76814939152329,0.8487712665406427
43,0.5755368675504412,0.5525176525115967,0.7163333333333334,0.727,0.7820253077865553,0.7972459353264383,0.7228851763457969,0.728110599078341,0.7116083381143622,0.726148409893993,0.6438356164383562,0.6709129511677282,0.7807385648342425,0.776937618147448
44,0.574990668467113,0.5534982681274414,0.7167777777777777,0.729,0.7821737771742093,0.797292090592754,0.7238905128886527,0.7057613168724279,0.7116669849150277,0.7509727626459144,0.6433632498819084,0.7282377919320594,0.7819974821653378,0.7296786389413988
45,0.5750457461391176,0.5521530508995056,0.7145555555555556,0.733,0.7824593180993301,0.7973181783519759,0.723489932885906,0.7475728155339806,0.7082464454976304,0.7227891156462585,0.6365139348134152,0.6539278131634819,0.7838858581619806,0.8034026465028355
46,0.5759167288030896,0.5519707202911377,0.7128888888888889,0.729,0.7811181380234066,0.797478718408727,0.7179080824088748,0.7347417840375586,0.7092443421557345,0.7247386759581882,0.641946150212565,0.6645435244161358,0.7759127150650441,0.7863894139886578
47,0.5751447600977762,0.5518506765365601,0.7184444444444444,0.729,0.7824881843938257,0.7975870829470338,0.724748810153358,0.7392344497607656,0.713875047911077,0.7216494845360825,0.6473783656117147,0.6560509554140127,0.7815778430549727,0.7939508506616257
48,0.5754571071692876,0.551669180393219,0.7155555555555555,0.736,0.7821441675416582,0.7974044686324797,0.7194546407970634,0.7674418604651163,0.7126880061704589,0.7161500815660685,0.6480869154463864,0.6305732484076433,0.775493075954679,0.8298676748582231
49,0.5755052979503359,0.5524100661277771,0.7151111111111111,0.724,0.782244295177758,0.7984941342676765,0.7239806866952789,0.7027027027027027,0.7088391502276176,0.74373795761079,0.6374586679263108,0.7176220806794055,0.7840956777171633,0.7296786389413988
50,0.5741603587354932,0.5514319539070129,0.7167777777777777,0.728,0.7824163283817768,0.7980205411002614,0.7209546289011277,0.7319347319347319,0.7137073452862926,0.7250437828371279,0.6492678318375059,0.6666666666666666,0.7767519932857743,0.782608695652174
51,0.5747760627950941,0.5513021945953369,0.7181111111111111,0.729,0.7820669842735436,0.7980105073467143,0.7211363044044826,0.7347417840375586,0.715862870424172,0.7247386759581882,0.6535191308455361,0.6645435244161358,0.775493075954679,0.7863894139886578
52,0.5748396064553942,0.550976574420929,0.7156666666666667,0.738,0.782364641608972,0.7983536617180195,0.717363093693226,0.7632241813602015,0.7143967359626967,0.7213930348258707,0.6528105810108644,0.643312101910828,0.7715065044062107,0.8223062381852552
53,0.5742354865585054,0.551255464553833,0.716,0.725,0.7820129435968959,0.798387776480079,0.7259019924609585,0.7197309417040358,0.7090427544457056,0.7292418772563177,0.6367501180916391,0.6815286624203821,0.7864036928241712,0.7637051039697542
54,0.573159441777638,0.551689624786377,0.7136666666666667,0.73,0.7819546163374604,0.798610525808821,0.7243433522881126,0.7170626349892009,0.7062370454117204,0.7411545623836127,0.6317902692489372,0.7048832271762208,0.7864036928241712,0.7523629489603024
55,0.5742007055452891,0.5507252216339111,0.7182222222222222,0.731,0.7826388837956467,0.7984259047435573,0.7200622083981337,0.7427884615384616,0.7168416958381952,0.7226027397260274,0.6561171469059991,0.6560509554140127,0.7733948804028535,0.7977315689981096
56,0.574801681297166,0.5543708205223083,0.7146666666666667,0.716,0.7825485682218818,0.7982131891683624,0.7239247311827957,0.6787762906309751,0.7081439393939394,0.7568134171907757,0.6360415682569674,0.7537154989384289,0.7845153168275283,0.6824196597353497
57,0.5740821885211127,0.5504578948020935,0.7182222222222222,0.734,0.7824064419856364,0.798600492055274,0.7189272821041774,0.7518427518427518,0.7176884029675907,0.7217537942664418,0.6584789796882381,0.6496815286624203,0.7712966848510281,0.8090737240075614
58,0.5741313338279724,0.5506725311279297,0.7157777777777777,0.724,0.7828816084487604,0.7989777611886385,0.72299095263438,0.7220956719817767,0.7106066386875238,0.7254901960784313,0.641709966934341,0.673036093418259,0.7815778430549727,0.7693761814744802
59,0.5750582162822996,0.5503469705581665,0.7175555555555555,0.731,0.7826434924915917,0.7990961594804924,0.718717683557394,0.7416267942583732,0.7166796570537802,0.7233676975945017,0.6565895134624469,0.6581740976645435,0.7717163239613932,0.7958412098298677
60,0.5724021247455052,0.5501243472099304,0.7171111111111111,0.737,0.7827395813242557,0.7989275924209038,0.7210581456259821,0.76,0.714203010420687,0.7216666666666667,0.6502125649504015,0.6454352441613588,0.7765421737305916,0.8185255198487713
61,0.5735434280974524,0.5502638816833496,0.7145555555555556,0.73,0.7825240132881093,0.7990720784719797,0.7226531158063654,0.7364705882352941,0.7088006082493823,0.7252173913043478,0.6381672177609825,0.6645435244161358,0.7824171212757028,0.7882797731568998
62,0.5731205731630326,0.550810694694519,0.7173333333333334,0.73,0.7832367010379575,0.7988954844095536,0.7282549972987574,0.7238307349665924,0.7097017742544356,0.73502722323049,0.6367501180916391,0.6900212314225053,0.7889215274863617,0.7655954631379962
63,0.5725944093295506,0.5502079129219055,0.7185555555555555,0.735,0.783241086732486,0.7987851131205375,0.719144550373615,0.754950495049505,0.718109005665169,0.7214765100671141,0.6591875295229098,0.6475583864118896,0.7712966848510281,0.8128544423440454
64,0.5719382882118225,0.5502645969390869,0.7156666666666667,0.738,0.7827068496718708,0.799041977211339,0.7224435590969456,0.7686375321336761,0.710792741165234,0.7184942716857611,0.6424185167690127,0.6348195329087049,0.7807385648342425,0.8298676748582231
65,0.5724310180970601,0.5502493381500244,0.7113333333333334,0.726,0.782929578531287,0.7992827872964654,0.7177848775292864,0.7233560090702947,0.7067124332570557,0.7280858676207513,0.6367501180916391,0.6772823779193206,0.7775912715065044,0.7693761814744802
66,0.5721886132444655,0.5500110387802124,0.7185555555555555,0.731,0.7830216781163855,0.7993590438234222,0.7237569060773481,0.735981308411215,0.7147528370840546,0.7272727272727273,0.6497401983939537,0.6687898089171974,0.7796894670583299,0.7863894139886578
67,0.5725505147661482,0.5499817728996277,0.7168888888888889,0.733,0.7830225948999873,0.7992165645230555,0.7217254076801684,0.7440191387559809,0.7133512889572913,0.7250859106529209,0.6480869154463864,0.6602972399150743,0.7780109106168694,0.7977315689981096
68,0.5719151296785899,0.5496711134910583,0.7186666666666667,0.736,0.7834665659427082,0.7992988413021405,0.7208095485210171,0.7506053268765133,0.7170617955693742,0.7257240204429302,0.6561171469059991,0.6581740976645435,0.7742341586235837,0.8052930056710775
69,0.5726942939417703,0.549912691116333,0.7147777777777777,0.728,0.7828616126550627,0.7992888075485934,0.7195154069001843,0.7256235827664399,0.7113203920814914,0.7298747763864043,0.6452527161076995,0.6794055201698513,0.7765421737305916,0.7712665406427222
70,0.5723189728600638,0.5499439239501953,0.7146666666666667,0.727,0.7830788655908021,0.7997864817245213,0.7275956284153006,0.7209821428571429,0.7058052434456928,0.7318840579710145,0.6289560699102503,0.6857749469214437,0.7908099034830046,0.7637051039697542
71,0.5717342951468058,0.5497947931289673,0.7166666666666667,0.736,0.7828642886720633,0.7990921459790736,0.7175710594315245,0.7555555555555555,0.7159844054580897,0.7226890756302521,0.6558809636277751,0.6496815286624203,0.7706672261854804,0.8128544423440454
72,0.5714841953345707,0.5498148798942566,0.7157777777777777,0.736,0.7831486154783598,0.7988232413840157,0.7194866422210582,0.7542997542997543,0.7130451563103049,0.7234401349072512,0.6487954652810581,0.6518046709129511,0.7752832563994965,0.8109640831758034
73,0.5728197489465986,0.5499016046524048,0.715,0.736,0.7835907281759416,0.7992005105173805,0.7198945981554677,0.7688311688311689,0.7114313160422671,0.7154471544715447,0.6452527161076995,0.6284501061571125,0.7769618128409568,0.831758034026465
74,0.5720510848930904,0.5498030781745911,0.7171111111111111,0.733,0.7828206051723248,0.7992125510216368,0.7199062011464304,0.7394366197183099,0.7150329329717164,0.7282229965156795,0.6525743977326405,0.6687898089171974,0.7744439781787663,0.7901701323251418
75,0.5713275913681303,0.5510801672935486,0.7178888888888889,0.724,0.7836533667961001,0.7997443399596241,0.7252192399681106,0.6977687626774848,0.7126217299980905,0.7495069033530573,0.6445441662730279,0.7303609341825902,0.7830465799412505,0.718336483931947
76,0.5717575396810259,0.5493265390396118,0.7174444444444444,0.735,0.783676682833113,0.799774441220265,0.7181935483870968,0.7524509803921569,0.7168780487804878,0.722972972972973,0.6572980632971186,0.6518046709129511,0.7708770457406631,0.8090737240075614
77,0.570182808807918,0.5492470860481262,0.7193333333333334,0.735,0.7838318422632682,0.7998767855064437,0.7245005257623555,0.748792270531401,0.7155504234026174,0.7252559726962458,0.6509211147850732,0.6581740976645435,0.7801091061686949,0.8034026465028355
78,0.5709296486207417,0.5492826700210571,0.7158888888888889,0.736,0.7835456571118323,0.7996861441890519,0.7186440677966102,0.740139211136891,0.7138431752178122,0.7328646748681898,0.6509211147850732,0.6772823779193206,0.773604699958036,0.7882797731568998
79,0.5705761658293861,0.5493425130844116,0.7175555555555555,0.732,0.7839765454047734,0.800153717104339,0.717816683831102,0.7280898876404495,0.7173573103987491,0.7351351351351352,0.6584789796882381,0.6878980891719745,0.7700377675199328,0.7712665406427222
80,0.5705642636333194,0.5496165752410889,0.7158888888888889,0.731,0.78383600495638,0.8001517103536295,0.7187581528828594,0.7224669603524229,0.7137604025546739,0.7380952380952381,0.6506849315068494,0.6963906581740976,0.7738145195132187,0.7618147448015122
81,0.5698854386806488,0.5491366982460022,0.7174444444444444,0.738,0.7833550404564213,0.7997804614723932,0.7156337668962,0.7518072289156627,0.7188422917897224,0.7282051282051282,0.6627302786962683,0.6624203821656051,0.7660511959714645,0.8052930056710775
82,0.571402850321361,0.5492522120475769,0.7156666666666667,0.74,0.7835685023680768,0.7996680834326675,0.7205688701606532,0.745920745920746,0.7120891793196233,0.7355516637478109,0.6461974492205952,0.6794055201698513,0.7773814519513219,0.7939508506616257
83,0.5715394118002483,0.5494707226753235,0.7172222222222222,0.738,0.7835310133521355,0.7996018606592578,0.7182734556733006,0.7659033078880407,0.7164295458974859,0.7199341021416804,0.6563533301842229,0.6390658174097664,0.7712966848510281,0.8260869565217391
84,0.5711089525903974,0.5525005459785461,0.7174444444444444,0.716,0.7835345813748027,0.7993931585854814,0.724092234296316,0.6787762906309751,0.7126458771762005,0.7568134171907757,0.6452527161076995,0.7537154989384289,0.7815778430549727,0.6824196597353497
85,0.5727282541138785,0.5492599606513977,0.7173333333333334,0.737,0.7833528104422545,0.7997644074667181,0.7098857426726279,0.7363636363636363,0.7233614796944109,0.7375,0.6750118091639112,0.6878980891719745,0.7549307595467898,0.780718336483932
86,0.5711866425616401,0.5505723357200623,0.7175555555555555,0.728,0.7841724397603795,0.7997142386989833,0.7232189973614775,0.7002012072434608,0.7134357005758157,0.7554671968190855,0.6473783656117147,0.7388535031847133,0.7798992866135124,0.718336483931947
87,0.5724933883973531,0.5493084192276001,0.7144444444444444,0.734,0.7833783317154993,0.7994272733475412,0.7113821138211383,0.7568922305764411,0.716824644549763,0.718801996672213,0.6613131790269249,0.6411889596602972,0.7616449853126311,0.8166351606805293
88,0.5711311042308808,0.5490669012069702,0.717,0.733,0.784027959620291,0.8003543921752776,0.7188067444876783,0.7297297297297297,0.7156462585034014,0.7356115107913669,0.6544638639584317,0.6878980891719745,0.7725556021821234,0.7731568998109641
89,0.5706635304859706,0.549123227596283,0.7174444444444444,0.734,0.7841316057231876,0.8002861626511586,0.7203544435757102,0.7313769751693002,0.715281812899477,0.7360861759425493,0.6528105810108644,0.6878980891719745,0.7748636172891313,0.775047258979206
90,0.5708347554717745,0.5501524806022644,0.7135555555555556,0.734,0.7830494789596677,0.7989797679393481,0.7063808574277168,0.7733333333333333,0.7193263833199679,0.7104,0.6693434104865376,0.6157112526539278,0.7528325639949643,0.8393194706994329
