epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,train_prec0,val_prec0,train_prec1,val_prec1,train_rec0,val_rec0,train_rec1,val_rec1
1,0.7044579617438778,0.6862322092056274,0.5295,0.5295,0.5461593682609163,0.642504558367678,0.0,0.0,0.5295,0.5295,0.0,0.0,1.0,1.0
2,0.6860304840149418,0.6640008091926575,0.533625,0.565,0.7226809335797912,0.7380356019303194,0.8367346938775511,0.7933884297520661,0.5317570116966419,0.5502927088877062,0.010892667375132838,0.10201912858660998,0.9981114258734656,0.9763928234183191
3,0.6542337517584523,0.6253759860992432,0.6375,0.708,0.776096466800934,0.7878123748769467,0.8364485981308412,0.8181818181818182,0.5994639666468136,0.665045170257123,0.28533475026567484,0.487778958554729,0.9504249291784702,0.9036827195467422
4,0.6094646223129765,0.5809566378593445,0.72175,0.733,0.7953747934058457,0.8010494531464027,0.7858736059479554,0.7799174690508941,0.6892655367231638,0.7062058130400628,0.5616365568544102,0.6025504782146652,0.8640226628895185,0.8489140698772427
5,0.5657129177162724,0.54636549949646,0.75025,0.756,0.8148846760573557,0.8194123744755494,0.773374613003096,0.8007968127490039,0.7345911949685534,0.7289494787489976,0.6636556854410202,0.640807651434644,0.8271954674220963,0.8583569405099151
6,0.5355635698764555,0.5197262167930603,0.76275,0.7695,0.8288071401548792,0.8331140700779412,0.7834143377885784,0.8076923076923077,0.7483007646559049,0.7450819672131147,0.6851753453772582,0.6695005313496281,0.8316808309726157,0.8583569405099151
7,0.5077296288744095,0.49974000453948975,0.7755,0.781,0.8461399443964441,0.844636178537489,0.7858803021499129,0.8033775633293124,0.7676612549363756,0.7651579846285226,0.7186503719447397,0.7077577045696068,0.8260151085930123,0.846081208687441
8,0.4850787616545154,0.48040997982025146,0.79225,0.7915,0.8607769897011497,0.8575290586531717,0.8006292906178489,0.825062034739454,0.7857460035523979,0.7688442211055276,0.7436238044633369,0.7066950053134963,0.8354579792256847,0.8668555240793201
9,0.472050009235259,0.4691328704357147,0.7965,0.7965,0.8667203660943745,0.8635389791865483,0.8020361990950227,0.828009828009828,0.7921146953405018,0.7748735244519392,0.7534537725823592,0.7162592986184909,0.8347497639282342,0.8677998111425873
10,0.4615238082985724,0.46162736415863037,0.799125,0.793,0.8708865561017903,0.8656794300961648,0.8092916547175222,0.776495278069255,0.7912696654110348,0.8080229226361032,0.7497343251859724,0.7863974495217854,0.8430122757318225,0.7988668555240793
11,0.4532393515110016,0.45347216725349426,0.803125,0.8065,0.8746796661679306,0.8699262131479681,0.8094430308170766,0.8091517857142857,0.7981178579430876,0.8043478260869565,0.7606269925611052,0.7704569606801275,0.8408876298394712,0.8385269121813032
12,0.4484204996016718,0.44931912422180176,0.80625,0.8045,0.8768461138222151,0.8712287472692442,0.8102578475336323,0.8021978021978022,0.8030234657039711,0.8064220183486238,0.7680658873538788,0.7757704569606801,0.8401794145420207,0.830028328611898
13,0.44310483720994764,0.4456249177455902,0.80575,0.806,0.8789092016810517,0.873045069888281,0.8116187253243091,0.8082497212931996,0.8010776829815895,0.8041704442429737,0.7646121147715197,0.7704569606801275,0.842304060434372,0.8375826251180358
14,0.4394728656738035,0.4440287947654724,0.809,0.7985,0.8797724880308353,0.8735147046870155,0.8156408808582721,0.7898706896551724,0.803723642889188,0.8059701492537313,0.7675345377258236,0.7789585547290117,0.8458451369216242,0.8158640226628895
15,0.4370633267587231,0.43838396668434143,0.810875,0.809,0.8812425114322958,0.8767439456748943,0.8200170599943133,0.813692480359147,0.8037028775373634,0.8052299368800722,0.7662061636556854,0.7704569606801275,0.8505665722379604,0.8432483474976393
16,0.4344587455834112,0.4372110366821289,0.81025,0.812,0.8822607120386065,0.8770801158833901,0.8214081282198054,0.82212086659065,0.8015978695073236,0.8040961709706145,0.7624867162592986,0.7662061636556854,0.8526912181303116,0.8526912181303116
17,0.43319419747398746,0.4342646598815918,0.810125,0.8105,0.8833626416054283,0.8786204778835125,0.8198917070390425,0.8129175946547884,0.8024938766421732,0.808529945553539,0.7643464399574921,0.7757704569606801,0.8508026440037771,0.8413597733711048
18,0.4303285349761286,0.4352220892906189,0.808,0.809,0.8838359454260281,0.8784348316489701,0.8150452488687783,0.8404384896467723,0.8024193548387096,0.7871077184054284,0.7656748140276302,0.7332624867162593,0.8456090651558074,0.8762983947119924
19,0.4302311991491625,0.43190544843673706,0.807125,0.815,0.8840094870243317,0.8794182549454652,0.8236665695132614,0.8308227114716107,0.7947034362004816,0.802990325417766,0.7507970244420828,0.7619553666312433,0.857176581680831,0.8621340887629839
20,0.42906351675910337,0.4299253821372986,0.809375,0.814,0.8848866968417061,0.8806224467370918,0.8204981391354137,0.8244013683010262,0.800754382072332,0.8058771148708815,0.7614240170031881,0.7683315621679064,0.8519830028328612,0.8545797922568461
21,0.4251610896279735,0.4291858375072479,0.812,0.811,0.887058287398434,0.8806535550250422,0.823411562678878,0.8195232690124858,0.8031513537505548,0.8042895442359249,0.7643464399574921,0.767268862911796,0.8543437204910292,0.8498583569405099
22,0.42270767304205126,0.4275631904602051,0.81425,0.816,0.8875623859153714,0.8819099284609726,0.8305281485780616,0.8343057176196033,0.8019323671497585,0.8022747156605424,0.7603613177470776,0.7598299681190224,0.8621340887629839,0.8659112370160529
23,0.4228730879483684,0.4263192117214203,0.8165,0.8175,0.8887685533341563,0.8825993282616789,0.8321759259259259,0.839622641509434,0.8045774647887324,0.8012152777777778,0.7640807651434643,0.7566418703506907,0.8630783758262511,0.8715769593956563
24,0.42165318275651625,0.4249451756477356,0.814,0.8175,0.8891023402463977,0.8830037360050335,0.8321657910099242,0.8348837209302326,0.8003935286401399,0.8043859649122806,0.7574388947927736,0.7630180658873539,0.8642587346553352,0.8659112370160529
25,0.42061048409631174,0.4247881770133972,0.816375,0.8185,0.8893961755872191,0.8833449236793278,0.8332849259366831,0.8416075650118203,0.8035988588983981,0.8015597920277296,0.762221041445271,0.7566418703506907,0.8644948064211521,0.8734655335221907
26,0.42225510602997196,0.4258313477039337,0.81275,0.816,0.8892648434199449,0.8832867210760658,0.8299359347699475,0.8472727272727273,0.7998247919404292,0.7940425531914893,0.757173219978746,0.742826780021254,0.8621340887629839,0.8810198300283286
27,0.4185848346640987,0.423147976398468,0.814125,0.81,0.8902946782750757,0.8838205794370202,0.83416495450543,0.8191126279863481,0.7992597430873067,0.8028545941123997,0.7550478214665249,0.7651434643995749,0.8666194523135033,0.8498583569405099
28,0.41846236682707266,0.42564091086387634,0.815125,0.8135,0.8903329364517886,0.8835441170715261,0.8337715454279871,0.8429951690821256,0.8011798121039982,0.7926621160409556,0.7582359192348566,0.7417640807651434,0.865675165250236,0.8772426817752597
29,0.4176238116718108,0.42197445034980774,0.813,0.8165,0.8900247386151193,0.8847608525276488,0.8260494537090282,0.8392434988179669,0.8029632905793896,0.7998266897746967,0.7632837407013815,0.7545164718384697,0.857176581680831,0.8715769593956563
30,0.4178366185195984,0.4248189330101013,0.815125,0.8035,0.8899035668160867,0.8824588392193224,0.8318327040371769,0.809255079006772,0.8025016458196181,0.7989228007181328,0.7608926673751328,0.7619553666312433,0.863314447592068,0.8404154863078376
31,0.41735150689078915,0.4213152825832367,0.8155,0.817,0.8903347866423019,0.8847959747882378,0.833917104495038,0.8270762229806599,0.8017052907739397,0.8090990187332738,0.7590329436769394,0.7725823591923485,0.865675165250236,0.8564683663833805
32,0.41721745940946764,0.4206339120864868,0.815375,0.8125,0.89029655982475,0.8850187502696888,0.8334791484397783,0.8283062645011601,0.8017939181798294,0.8005272407732865,0.759298618490967,0.7587672688629118,0.8652030217186024,0.8602455146364495
33,0.4152591165996367,0.4261416792869568,0.815375,0.81,0.8910186672306297,0.8830167814161094,0.8344545188651653,0.8327402135231317,0.8011351233355163,0.7934312878133103,0.7579702444208289,0.7460148777895855,0.8663833805476865,0.8668555240793201
34,0.41706067083343384,0.42217230796813965,0.816625,0.8145,0.8911394313605661,0.8848431389667432,0.8329950710350826,0.8345070422535211,0.8042188529993408,0.7996515679442509,0.7632837407013815,0.7555791710945803,0.8640226628895185,0.8668555240793201
35,0.41538972143203984,0.42050617933273315,0.81625,0.8115,0.8920271464969559,0.8856875784606215,0.8375515008828722,0.8140311804008908,0.8005215123859192,0.809437386569873,0.7561105207226355,0.7768331562167906,0.8696883852691218,0.842304060434372
36,0.4143242129395085,0.42050987482070923,0.818,0.813,0.8921396004491635,0.8858235517837593,0.8327566320645905,0.8379022646007152,0.8067078552515445,0.7950043066322137,0.767268862911796,0.7470775770456961,0.8630783758262511,0.8715769593956563
37,0.4137309198417971,0.4212571084499359,0.816875,0.8145,0.8923709683407942,0.8853077562996792,0.8346433770014556,0.8306264501160093,0.8035049288061337,0.8022847100175747,0.7616896918172157,0.7608926673751328,0.8659112370160529,0.8621340887629839
38,0.4144147043266604,0.4186089336872101,0.819625,0.816,0.8924252196897401,0.8865821926124839,0.8370607028753994,0.8335273573923166,0.8064516129032258,0.8028045574057844,0.7656748140276302,0.7608926673751328,0.8675637393767706,0.8649669499527857
39,0.4135784141479,0.4180101454257965,0.81875,0.8185,0.8924500561454423,0.8867557969291102,0.8367287543655413,0.8352668213457076,0.8052147239263804,0.8057996485061512,0.7638150903294367,0.7651434643995749,0.8675637393767706,0.8659112370160529
40,0.41353545698427385,0.4182858169078827,0.818125,0.811,0.8925521615744406,0.8865902205577615,0.8370802919708029,0.820250284414107,0.8039344262295082,0.8037466547725245,0.7616896918172157,0.7662061636556854,0.8682719546742209,0.8508026440037771
41,0.41272817888567526,0.4209548532962799,0.818125,0.8155,0.8929807472311115,0.8858968067844165,0.8308971051877329,0.8404761904761905,0.8082465085346929,0.7974137931034483,0.7701912858660999,0.7502656748140276,0.8607176581680831,0.8734655335221907
42,0.4127580124524332,0.4176598787307739,0.819,0.8135,0.8928432686682342,0.8869454571362916,0.8387946167349327,0.8249427917620137,0.8042339589698821,0.8046181172291297,0.7616896918172157,0.7662061636556854,0.8699244570349386,0.8555240793201133
