fold,epoch,train_loss,train_acc,train_auc,train_prec0,train_rec0,train_prec1,train_rec1,val_loss,val_acc,val_auc,val_prec0,val_rec0,val_prec1,val_rec1
1,1,0.7087581590298684,0.47325,0.5921419520522615,0.47325,1.0,0.0,0.0,0.697863757610321,0.445,0.6145824476161554,0.445,1.0,0.0,0.0
1,2,0.6954722491002852,0.47325,0.6515703635229937,0.47325,1.0,0.0,0.0,0.6847872734069824,0.445,0.6649660896851908,0.445,1.0,0.0,0.0
1,3,0.67814084599095,0.47325,0.7064077280195239,0.47325,1.0,0.0,0.0,0.6647318005561829,0.445,0.7264824374936736,0.445,1.0,0.0,0.0
1,4,0.6557811979324587,0.607125,0.7611351841809219,0.5533609958506224,0.8806127839408346,0.7711392405063291,0.3614143331751305,0.6385124325752258,0.664,0.7901407025002531,0.5852895148669797,0.8404494382022472,0.8033240997229917,0.5225225225225225
1,5,0.6314919148722002,0.706875,0.7887480002136114,0.655649168286887,0.8016376122556789,0.7772174428952833,0.6217370669197911,0.6130194067955017,0.716,0.8126126126126126,0.6414762741652021,0.8202247191011236,0.814385150812065,0.6324324324324324
1,6,0.6054707688670005,0.739,0.8156060622015363,0.6940127970749543,0.8021658742736397,0.7933222958057395,0.682249644043664,0.5862218737602234,0.747,0.8361392853527685,0.6791044776119403,0.8179775280898877,0.8254310344827587,0.69009009009009
1,7,0.5809209962044993,0.76125,0.836070918987873,0.7246168582375478,0.7992604331748547,0.801255230125523,0.7271001423825344,0.5601140856742859,0.767,0.8585545095657454,0.7015209125475285,0.8292134831460675,0.8396624472573839,0.7171171171171171
1,8,0.5568327836451992,0.77775,0.8535557775242187,0.7414622414622415,0.8143159006867406,0.8170223841749089,0.7448979591836735,0.5361230969429016,0.79,0.8699969632553902,0.7442827442827443,0.8044943820224719,0.8323699421965318,0.7783783783783784
1,9,0.5380490715465238,0.79225,0.8609424512811795,0.7661654135338346,0.8074484944532488,0.8182044887780549,0.7785951589938301,0.516515851020813,0.798,0.879797550359348,0.7505154639175258,0.8179775280898877,0.8427184466019417,0.781981981981982
1,10,0.5224004671458276,0.797875,0.8653144023982644,0.7761650114591291,0.8050713153724247,0.8188067763319421,0.7914095870906502,0.5008194446563721,0.819,0.8831663123797955,0.7882096069868996,0.8112359550561797,0.8450184501845018,0.8252252252252252
1,11,0.5103540723362276,0.8045,0.8651022952947073,0.7923684210526316,0.7952984680401479,0.8154761904761905,0.8127669672520171,0.4874802231788635,0.82,0.8860694402267437,0.7990970654627539,0.7955056179775281,0.8366247755834829,0.8396396396396396
