epoch,train_loss,val_loss,val_mse,val_mae,val_rmse,val_r2,val_corr,val_nrmse,val_mape_score,val_acc_like_0.1,val_acc_like_0.2,val_acc_like_0.3,val_acc_like_0.4,val_acc_like_0.5,lr
1,0.8737608566880226,0.500197172164917,21651734.0,3519.452392578125,4653.142379081044,0.5015287399291992,0.7234466691421658,0.9307954927860295,0.19326931486339743,0.13103125,0.2588125,0.37959375,0.48628125,0.5789375,0.001
2,0.4043071446940303,0.36665029078722,15880815.0,2972.16259765625,3985.074026915937,0.6343882083892822,0.8012838124911587,0.9407314322717166,0.23200034072926018,0.165,0.31790625,0.44628125,0.55978125,0.6525625,0.001
3,0.3511595455929637,0.34283310547471046,14851729.0,2874.694091796875,3853.7941045157045,0.6580800414085388,0.8118878841032238,0.9426839111766476,0.2508765988336101,0.1690625,0.3250625,0.46053125,0.57446875,0.66790625,0.001
4,0.3400531765073538,0.33640987798571587,14574794.0,2848.180419921875,3817.6948542281375,0.6644557118415833,0.8158261120533911,0.9432208022974042,0.2374296777360655,0.17059375,0.32721875,0.46453125,0.57884375,0.6716875,0.001
5,0.3387855961918831,0.3326801247894764,14413672.0,2838.595703125,3796.5342089858746,0.6681650876998901,0.8175766018291554,0.9435355169368926,0.2299082231673685,0.169375,0.32775,0.46371875,0.57896875,0.67271875,0.001
6,0.33444006089121103,0.33084648475050926,14334354.0,2827.748779296875,3786.0736918343255,0.669991135597229,0.8188344354203326,0.9436910924331273,0.22822541050797912,0.16959375,0.33059375,0.4665,0.5799375,0.67371875,0.001
7,0.32977076433598995,0.3284827396273613,14232248.0,2825.30810546875,3772.565175049995,0.6723418235778809,0.8200414387663212,0.9438919997278308,0.21708014314036614,0.16753125,0.32775,0.4655625,0.57909375,0.67471875,0.001
8,0.3283500708639622,0.32828177884221077,14223423.0,2810.59521484375,3771.3953651135544,0.6725450754165649,0.8211699298798234,0.9439093978888132,0.23316615408853122,0.1735625,0.3335,0.4684375,0.58209375,0.67796875,0.001
9,0.3284213338047266,0.3251916356384754,14089869.0,2807.7158203125,3753.647426170977,0.6756197214126587,0.822044112742623,0.9441733565792041,0.22410840546511307,0.1725625,0.33046875,0.4675625,0.5815625,0.6780625,0.001
10,0.32721054647117853,0.32720672711730003,14177303.0,2838.41064453125,3765.2759527025373,0.6736068725585938,0.8224824860510883,0.944000409701013,0.20448754742082811,0.16675,0.32340625,0.45909375,0.575625,0.6688125,0.001
