fold,epoch,train_loss,train_acc,train_auc,train_prec0,train_rec0,train_prec1,train_rec1,val_loss,val_acc,val_auc,val_prec0,val_rec0,val_prec1,val_rec1
1,1,0.70075903015752,0.52675,0.588401715309645,0.0,0.0,0.52675,1.0,0.6771644949913025,0.555,0.7047535175625064,0.0,0.0,0.555,1.0
1,2,0.672396344523276,0.5805,0.7319393684573672,0.7945205479452054,0.1531959852086635,0.559009628610729,0.9644043663977219,0.62740159034729,0.659,0.7715558254884097,0.7222222222222222,0.3797752808988764,0.639686684073107,0.8828828828828829
1,3,0.593998045690598,0.708875,0.8024725645980206,0.7824738270647538,0.5330163761225568,0.6738609112709832,0.8668723303274798,0.5353146195411682,0.788,0.8420730843202753,0.7606263982102909,0.7640449438202247,0.810126582278481,0.8072072072072072
1,4,0.5163513397978198,0.781625,0.8479866811280589,0.7843793584379358,0.7427363972530375,0.7793884484711212,0.81656383483626,0.4748364984989166,0.79,0.8659459459459461,0.7593818984547461,0.7730337078651686,0.8153564899451554,0.8036036036036036
1,5,0.48088361178675004,0.786125,0.8608608740367115,0.7807848443843031,0.7620179609086106,0.7907084785133566,0.8077835785476981,0.4448549151420593,0.808,0.875282923372811,0.7842696629213484,0.7842696629213484,0.827027027027027,0.827027027027027
1,6,0.4609278209747807,0.7985,0.8714320689393216,0.803461753210497,0.7601690438457475,0.7944771389769126,0.832937826293308,0.4359109699726105,0.807,0.875501568984715,0.7903225806451613,0.7707865168539326,0.8197879858657244,0.836036036036036
1,7,0.45184535509155643,0.79975,0.8743830779649051,0.8024930747922437,0.7651875330163761,0.79749430523918,0.8308020882771713,0.42515939474105835,0.803,0.8836278975604819,0.7672413793103449,0.8,0.8339552238805971,0.8054054054054054
1,8,0.44412619163913114,0.805625,0.8787265412928152,0.8123774852982358,0.7662440570522979,0.8001806276811921,0.8410061699098244,0.4136790335178375,0.819,0.8869278267031075,0.8203883495145631,0.7595505617977528,0.8180272108843537,0.8666666666666667
1,9,0.43788690913108086,0.8085,0.8811673399688257,0.8183615819209039,0.7651875330163761,0.8006726457399103,0.8474133839582345,0.41071802377700806,0.821,0.8890171069946351,0.8078703703703703,0.7842696629213484,0.8309859154929577,0.8504504504504504
1,10,0.43026368175783464,0.80925,0.8845199045969325,0.818489289740699,0.7670364500792393,0.8018867924528302,0.8471760797342193,0.40628746151924133,0.823,0.891150926207106,0.8116279069767441,0.7842696629213484,0.8315789473684211,0.8540540540540541
1,11,0.4269048331245299,0.81275,0.8870260152120406,0.825,0.7670364500792393,0.803125,0.8538205980066446,0.4018568992614746,0.822,0.8939892701690454,0.8054919908466819,0.7910112359550562,0.8348134991119005,0.8468468468468469
1,12,0.417748186376787,0.814,0.8911415135471505,0.8296041308089501,0.7638668779714739,0.8019494904740806,0.8590412909349786,0.3934668302536011,0.832,0.8973377872254277,0.8321342925659473,0.7797752808988764,0.8319039451114922,0.8738738738738738
1,13,0.4154725468927814,0.814875,0.8924949185807076,0.826950354609929,0.7699418911780243,0.8053631284916201,0.8552444233507357,0.3900354206562042,0.836,0.8992043729122381,0.8418491484184915,0.7775280898876404,0.831918505942275,0.8828828828828829
1,14,0.4095204626360247,0.816625,0.895402052023404,0.8329026701119724,0.7662440570522979,0.8040735001106929,0.8618889416231609,0.3913215696811676,0.823,0.9000749063670412,0.7951541850220264,0.8112359550561797,0.8461538461538461,0.8324324324324325
1,15,0.4043209788299376,0.820375,0.8981006510885783,0.8330025517436915,0.7760169043845747,0.8104180639391907,0.8602278120550546,0.38284042477607727,0.836,0.9036380200425144,0.8200455580865603,0.8089887640449438,0.8484848484848485,0.8576576576576577
1,16,0.399184119797522,0.824,0.9009385864691213,0.8418631397354802,0.7733755942947702,0.8102609464838567,0.8694826767916469,0.380752831697464,0.841,0.9046219252960825,0.8294930875576036,0.8089887640449438,0.8498233215547704,0.8666666666666667
1,17,0.39600273293833577,0.8255,0.9027929566401433,0.839681637293917,0.780243000528262,0.8143685854529228,0.8661604176554343,0.3768649995326996,0.839,0.905407429901812,0.8380952380952381,0.7910112359550562,0.8396551724137931,0.8774774774774775
1,18,0.39282376679681963,0.829,0.9050223376860419,0.8460217515741271,0.780771262546223,0.8158011540168664,0.8723303274798292,0.373552143573761,0.84,0.9070351250126532,0.8337236533957846,0.8,0.8446771378708552,0.872072072072072
1,19,0.3885926469679802,0.827125,0.9067777370779513,0.8439736616089322,0.7786582144743793,0.8140670068781894,0.8706691979117228,0.37189117074012756,0.833,0.9075817390424132,0.8217592592592593,0.797752808988764,0.8415492957746479,0.8612612612612612
1,20,0.38474344534258687,0.832,0.9082151951924397,0.8451102317693612,0.7897517168515584,0.8216046615867324,0.8699572852396773,0.365519255399704,0.845,0.9105253568174917,0.8419811320754716,0.802247191011236,0.8472222222222222,0.8792792792792793
1,21,0.38153649145557034,0.833,0.9097860350789047,0.8456546275395034,0.7916006339144216,0.822935368043088,0.8701945894636924,0.3647785782814026,0.844,0.9109464520700477,0.858560794044665,0.7775280898876404,0.8341708542713567,0.8972972972972973
1,22,0.37816453677031303,0.83625,0.912154815119576,0.8541189931350115,0.7886951928156366,0.822380106571936,0.8789748457522544,0.3605746328830719,0.837,0.9126672740155887,0.823394495412844,0.8067415730337079,0.8475177304964538,0.8612612612612612
1,23,0.37437508808028314,0.839,0.913398311818001,0.8548295454545455,0.794770206022187,0.8265625,0.8787375415282392,0.36261552572250366,0.842,0.9125336572527584,0.8314087759815243,0.8089887640449438,0.8500881834215167,0.8684684684684685
1,24,0.37475223454736895,0.839375,0.9132891242960163,0.8557610241820768,0.7945060750132066,0.8265328874024526,0.8796867584243,0.3597077429294586,0.834,0.913772649053548,0.8163265306122449,0.8089887640449438,0.8479427549194991,0.8540540540540541
1,25,0.371698455945138,0.84025,0.9147653496219555,0.851063829787234,0.8029582673005811,0.8315266485998193,0.8737541528239202,0.3534294366836548,0.845,0.9157566555319365,0.8553921568627451,0.7842696629213484,0.8378378378378378,0.8936936936936937
1,26,0.3666103712974056,0.84375,0.9172500865602571,0.863323782234957,0.7958267300581088,0.8286031042128603,0.8868058851447556,0.35788899660110474,0.846,0.9149509059621419,0.836027713625866,0.8134831460674158,0.8536155202821869,0.872072072072072
1,27,0.3667866686178792,0.8435,0.9173604336512182,0.8605577689243028,0.7987321711568938,0.8301382077574677,0.8837209302325582,0.35491183400154114,0.844,0.9155177649559674,0.84,0.802247191011236,0.8469565217391304,0.8774774774774775
1,28,0.3634350069107548,0.845125,0.9187434233635222,0.8618925831202046,0.8011093502377179,0.8319571524213345,0.8846701471286189,0.35219234228134155,0.834,0.9172669298511995,0.8148984198645598,0.8112359550561797,0.8491921005385996,0.8522522522522522
1,29,0.3610248580094307,0.845625,0.9200866429939094,0.8624609263995453,0.8016376122556789,0.8324034813657666,0.8851447555766493,0.3528793752193451,0.839,0.9179147687012856,0.8198198198198198,0.8179775280898877,0.85431654676259,0.8558558558558559
1,30,0.35945013838429607,0.843875,0.9206254978311672,0.8606767131077623,0.7995245641838352,0.830693731875976,0.8837209302325582,0.34784767031669617,0.84,0.9200202449640651,0.8216704288939052,0.8179775280898877,0.8545780969479354,0.8576576576576577
1,31,0.3583174448820852,0.843125,0.921139092868563,0.8571831780976573,0.8021658742736397,0.8319497419789096,0.8799240626483151,0.35413995385169983,0.847,0.9176515841684381,0.8318181818181818,0.8224719101123595,0.8589285714285714,0.8666666666666667
1,32,0.35919309840086966,0.840125,0.9203843701635006,0.8520078629598428,0.8013734812466984,0.830592475782834,0.8749406739439962,0.35017210245132446,0.839,0.9190444376961231,0.8169642857142857,0.8224719101123595,0.8568840579710145,0.8522522522522522
1,33,0.35386891663074493,0.8465,0.9229828075408838,0.8594716132658797,0.8077126254622292,0.8361098604232328,0.8813478879924063,0.34488967061042786,0.847,0.9208178965482336,0.8379629629629629,0.8134831460674158,0.8538732394366197,0.8738738738738738
1,34,0.3513422723739378,0.84875,0.9242862884290561,0.8640474844544941,0.8074484944532488,0.8366203496190049,0.8858566682486948,0.3450567424297333,0.837,0.9214211964773763,0.8119469026548672,0.8247191011235955,0.8576642335766423,0.8468468468468469
1,35,0.35148010258713075,0.849,0.9242608092512795,0.8624859392575928,0.8100898045430533,0.8382088208820883,0.8839582344565733,0.3464455306529999,0.84,0.9192387893511489,0.8400954653937948,0.7910112359550562,0.8399311531841652,0.8792792792792793
1,36,0.3489655203396274,0.84975,0.9251340900492435,0.8627175743964065,0.811674590596936,0.8393420459666516,0.8839582344565733,0.346548467874527,0.843,0.9204413402166212,0.8257918552036199,0.8202247191011236,0.8566308243727598,0.8612612612612612
1,37,0.34732159972190857,0.848875,0.9259530591435337,0.8600167644593462,0.8129952456418383,0.8398552363718615,0.8811105837683911,0.34243181347846985,0.843,0.9217896548233626,0.8317972350230415,0.8112359550561797,0.8515901060070671,0.8684684684684685
1,38,0.3465471592160963,0.851375,0.9266821459723092,0.8632167832167832,0.815108293713682,0.8418079096045198,0.8839582344565733,0.3351205885410309,0.846,0.9242352464824374,0.8439716312056738,0.802247191011236,0.8474870017331022,0.8810810810810811
1,39,0.34444771586887296,0.851,0.9271593242759089,0.8628987129266927,0.8145800316957211,0.8413917758698599,0.8837209302325582,0.33548128604888916,0.852,0.924717076627189,0.8461538461538461,0.8157303370786517,0.8563922942206655,0.8810810810810811
1,40,0.34509341394709003,0.847,0.9267928377999931,0.8594276094276094,0.8090332805071315,0.8370153291253382,0.8811105837683911,0.3377353549003601,0.843,0.9246684887134325,0.82,0.8292134831460675,0.8618181818181818,0.8540540540540541
1,41,0.34201422333717346,0.852375,0.9284791644885573,0.8674188998589563,0.812202852614897,0.8404040404040404,0.8884670147128619,0.3449461758136749,0.846,0.9227330701488005,0.8197802197802198,0.8382022471910112,0.8678899082568807,0.8522522522522522
1,42,0.34313782977481044,0.851625,0.9272923926508649,0.8598726114649682,0.8201267828843106,0.8448393711551606,0.8799240626483151,0.3354354202747345,0.847,0.92493167324628,0.8348623853211009,0.8179775280898877,0.8563829787234043,0.8702702702702703
1,43,0.34205056198181644,0.84975,0.9284661898519035,0.8614997202014549,0.8132593766508188,0.8402620876638048,0.8825344091124822,0.33695802092552185,0.842,0.9244336471302762,0.8298850574712644,0.8112359550561797,0.8513274336283185,0.8666666666666667
1,44,0.34059434744619554,0.85425,0.9291371101936519,0.8688063063063063,0.815108293713682,0.8426258992805755,0.8894162316089227,0.3359139561653137,0.843,0.9247940074906367,0.8333333333333334,0.8089887640449438,0.8503521126760564,0.8702702702702703
1,45,0.3418027823490481,0.85125,0.9286000730591134,0.8621651785714286,0.8161648177496038,0.842391304347826,0.8827717133364974,0.3346635103225708,0.844,0.9261787630326956,0.8291571753986332,0.8179775280898877,0.8556149732620321,0.8648648648648649
1,46,0.33895913391344007,0.854375,0.9295748631520568,0.8657549539492045,0.8193343898573693,0.8451437627348879,0.8858566682486948,0.33839356899261475,0.847,0.9253122785707055,0.8201754385964912,0.8404494382022472,0.8694852941176471,0.8522522522522522
1,47,0.33862762537694746,0.85525,0.9296030062045089,0.8656093489148581,0.8217115689381933,0.8467998184294144,0.8853820598006644,0.3334144353866577,0.846,0.9267942099402773,0.8269662921348314,0.8269662921348314,0.8612612612612612,0.8612612612612612
1,48,0.336019339821031,0.855375,0.9305049628298597,0.8691378826172423,0.8174854727945061,0.8443343095291732,0.8894162316089227,0.3368649184703827,0.843,0.9263933596517866,0.8116883116883117,0.8426966292134831,0.8698884758364313,0.8432432432432433
1,49,0.33570253632722363,0.85425,0.9307726979045774,0.8673583847448121,0.8169572107765452,0.8437077131258457,0.8877551020408163,0.3360217213630676,0.85,0.9258831865573438,0.8329571106094809,0.8292134831460675,0.8635547576301615,0.8666666666666667
1,50,0.33620757825912967,0.854,0.9307642988644247,0.8598130841121495,0.8262017960908611,0.8491517652453003,0.8789748457522544,0.33217746019363403,0.846,0.9266120052636907,0.8314350797266514,0.8202247191011236,0.857397504456328,0.8666666666666667
1,51,0.3357819693703805,0.854625,0.9313105498713694,0.868088689306764,0.8169572107765452,0.8438133874239351,0.8884670147128619,0.33540740609169006,0.848,0.9270816884300029,0.8219780219780219,0.8404494382022472,0.8697247706422019,0.8540540540540541
1,52,0.3355205020596904,0.853875,0.9307517943233018,0.8645862357202564,0.8195985208663497,0.8451598277034686,0.8846701471286189,0.3406595289707184,0.838,0.9254782872760401,0.8017057569296375,0.8449438202247191,0.8700564971751412,0.8324324324324325
1,53,0.3338691553761882,0.8555,0.9316600815684695,0.8634604754007739,0.8251452720549393,0.848927430397079,0.8827717133364974,0.3299729526042938,0.847,0.9282032594392146,0.830316742081448,0.8247191011235955,0.8602150537634409,0.8648648648648649
1,54,0.3354978301832753,0.856625,0.9311093803238318,0.8705419825891604,0.8188061278394083,0.845460689344447,0.8906027527289986,0.3451063632965088,0.836,0.924822350440328,0.7970401691331924,0.8471910112359551,0.8709677419354839,0.827027027027027
1,55,0.3330793640305919,0.855,0.9320777771175546,0.8657381615598886,0.820919175911252,0.8462585034013606,0.8856193640246797,0.33093443512916565,0.848,0.9283287782164187,0.8262806236080178,0.8337078651685393,0.8656987295825771,0.8594594594594595
1,56,0.3330331759587411,0.85525,0.9320875551045982,0.8613861386138614,0.8272583201267829,0.8501374885426215,0.8803986710963455,0.33315232396125793,0.843,0.9257576677801398,0.839622641509434,0.8,0.8454861111111112,0.8774774774774775
1,57,0.33271025289450923,0.856625,0.9321615794808691,0.8670375521557719,0.8232963549920761,0.8481271282633371,0.8865685809207404,0.3348170518875122,0.846,0.9268994837534162,0.8240534521158129,0.8314606741573034,0.8638838475499092,0.8576576576576577
1,58,0.33086912069589863,0.85475,0.9327861797429694,0.8664804469273742,0.8193343898573693,0.8452488687782805,0.8865685809207404,0.33181002736091614,0.842,0.928591962749266,0.8153846153846154,0.8337078651685393,0.8642201834862385,0.8486486486486486
1,59,0.3320084021937463,0.856125,0.9332953872220764,0.8654646324549237,0.8240887480190174,0.8484641638225257,0.884907451352634,0.3345734477043152,0.848,0.9262435469177043,0.8321995464852607,0.8247191011235955,0.8604651162790697,0.8666666666666667
1,60,0.33222403809908896,0.855125,0.9327303323938945,0.865979381443299,0.820919175911252,0.8462933575153027,0.8858566682486948,0.3324214518070221,0.846,0.9278064581435369,0.8269662921348314,0.8269662921348314,0.8612612612612612,0.8612612612612612
1,61,0.331545764400113,0.85575,0.9328831761208518,0.8649473100388242,0.823824617010037,0.848202093764224,0.8844328429046037,0.33055585622787476,0.851,0.9276890373519587,0.8394495412844036,0.8224719101123595,0.8599290780141844,0.8738738738738738
1,62,0.32962331368077186,0.856125,0.9335552246918744,0.8648573802270839,0.8248811410459588,0.8489405331510594,0.8841955386805885,0.32857567071914673,0.851,0.9300172082194553,0.8303571428571429,0.8359550561797753,0.8677536231884058,0.863063063063063
