epoch,train_loss,val_loss,val_mse,val_mae,val_rmse,val_r2,val_corr,val_nrmse,val_mape_score,val_acc_like_0.1,val_acc_like_0.2,val_acc_like_0.3,val_acc_like_0.4,val_acc_like_0.5,lr
1,0.8755657337605953,0.47718971595168114,20658772.0,3477.075439453125,4545.192185155651,0.5243889093399048,0.7383949619806855,0.9324009970594093,0.16458770393720662,0.1260625,0.2525,0.37075,0.47925,0.5781875,0.001
2,0.32004009932279587,0.2559165321290493,11089138.0,2542.846435546875,3330.0357355439896,0.7447032928466797,0.8632835704815803,0.950473580365975,0.19470174819656302,0.1831875,0.352875,0.4973125,0.61615625,0.71171875,0.001
3,0.2474401332437992,0.24236487597227097,10502656.0,2468.594970703125,3240.7801529878575,0.7582054138183594,0.8707832223762796,0.9518010464316302,0.19333933867988026,0.1893125,0.36365625,0.510875,0.63046875,0.724625,0.001
4,0.2402216223999858,0.23894747160375118,10355514.0,2450.7626953125,3217.9984462395255,0.7615929245948792,0.8728460923238337,0.9521398705338325,0.19506440053669052,0.1904375,0.36478125,0.51459375,0.63375,0.72790625,0.001
5,0.23812061827629805,0.23701655305922031,10272279.0,2438.98291015625,3205.0396253400677,0.763509213924408,0.8739483453236557,0.9523326024000339,0.19037282591744065,0.1918125,0.36775,0.51596875,0.63734375,0.72903125,0.001
6,0.23621464474126697,0.23715543746948242,10277565.0,2435.552001953125,3205.864158070332,0.7633875012397766,0.8747743603269904,0.9523203394223232,0.2015138773855311,0.1918125,0.37003125,0.51953125,0.63853125,0.730125,0.001
7,0.23534083412960172,0.23637428879737854,10243554.0,2433.198974609375,3200.555264325239,0.7641705274581909,0.8753104447772048,0.9523992966829331,0.20023196389975284,0.19121875,0.369875,0.51975,0.63896875,0.7303125,0.001
8,0.2341538667678833,0.23403148166835308,10142573.0,2419.28466796875,3184.74064878131,0.7664953470230103,0.8758253432184102,0.9526345017521819,0.20002641072899383,0.19384375,0.3709375,0.52175,0.64096875,0.732625,0.001
9,0.23264199309051037,0.23322254233062267,10108486.0,2416.786865234375,3179.3845316350144,0.767280101776123,0.876206038994482,0.9527141613493944,0.19605372548466027,0.19528125,0.37375,0.5225,0.6389375,0.7319375,0.001
10,0.2328839711844921,0.23400593735277653,10141314.0,2415.0859375,3184.5429813397086,0.7665243148803711,0.8762967931457764,0.9526374415886997,0.20712052864547315,0.1961875,0.3723125,0.523875,0.640875,0.7323125,0.001
11,0.23233299609273672,0.23562433384358883,10213037.0,2432.400634765625,3195.7842542950234,0.7648730874061584,0.876552255392344,0.9524702541931822,0.18706209279926472,0.19378125,0.37028125,0.51865625,0.63434375,0.73021875,0.001
12,0.23139633890241385,0.23225143179297447,10066579.0,2413.0595703125,3172.7872604383674,0.7682448625564575,0.8769916863669294,0.9528122801828462,0.19589271611205894,0.19478125,0.37378125,0.5214375,0.63903125,0.732375,0.001
13,0.22884815372526646,0.23426829650998116,10153263.0,2418.746337890625,3186.4185224166645,0.7662491798400879,0.8771746419747003,0.9526095473431735,0.209086612462623,0.19528125,0.37225,0.522875,0.642,0.7315625,0.001
14,0.23097456805408,0.23104172199964523,10014046.0,2403.0439453125,3164.497748458671,0.769454300403595,0.8774403417760174,0.9529355671027089,0.20260103680352548,0.1981875,0.374625,0.524625,0.64375,0.733875,0.001
15,0.23001179564744234,0.23517949879169464,10193285.0,2433.281005859375,3192.6924374264427,0.7653278112411499,0.8774737535697934,0.9525162376695847,0.1890637819986641,0.19384375,0.36925,0.5165625,0.63246875,0.73059375,0.001
16,0.22759576188400388,0.23089254833757877,10007418.0,2400.903076171875,3163.4503315209486,0.76960688829422,0.8777345943438323,0.9529511449567948,0.20614293870798245,0.19625,0.37459375,0.52471875,0.64303125,0.73484375,0.001
17,0.22709139110520482,0.23005812615156174,9971116.0,2397.070556640625,3157.7073961974374,0.7704426646232605,0.8779800561304214,0.9530365575611484,0.20561132139181226,0.196375,0.37553125,0.525625,0.64346875,0.735875,0.001
18,0.22605823585763574,0.23631106689572334,10241263.0,2429.321044921875,3200.1973376652886,0.7642232775688171,0.8781072709441519,0.9524046199969654,0.21503921617785704,0.1925625,0.36796875,0.5195625,0.64096875,0.7325625,0.001
19,0.22650110814720392,0.22935996018350124,9941518.0,2395.44091796875,3153.017285077898,0.7711240649223328,0.8782628295432114,0.9531063118910966,0.20109695857861126,0.19778125,0.37525,0.52571875,0.64309375,0.73628125,0.001
20,0.22676482098177075,0.2294375952333212,9944916.0,2396.35009765625,3153.556087974336,0.7710458040237427,0.8782783419533932,0.9530982984700801,0.20208632989883743,0.19590625,0.37584375,0.52434375,0.64384375,0.7364375,0.001
21,0.22640619613230228,0.22889135777950287,9921016.0,2391.614501953125,3149.7644356364176,0.7715960741043091,0.8785274867593472,0.9531546903468368,0.20873032682590464,0.19634375,0.37778125,0.52571875,0.64546875,0.73759375,0.001
22,0.22645376296713948,0.22971360944211483,9956170.0,2396.513916015625,3155.339918297235,0.7707867622375488,0.8786902688006321,0.9530717682054992,0.20983735681727117,0.19634375,0.3758125,0.5241875,0.64475,0.7365625,0.001
23,0.22612766548991203,0.22899072989821434,9925820.0,2395.196533203125,3150.5269400530447,0.771485447883606,0.8787409932021232,0.9531433498938477,0.20289073674522703,0.198,0.37659375,0.52415625,0.64315625,0.73640625,0.001
24,0.22455735923722386,0.23218367993831635,10062838.0,2406.610107421875,3172.197660928461,0.768330991268158,0.87893278149,0.9528210490835616,0.21966308199427473,0.1965,0.37309375,0.523875,0.64325,0.73578125,0.001
